date;depot;client;order;driver;demand;cap
20201001;7;102;117;131;3174.0;2
20201002;8;77;85;131;2893.5;2
20201003;3;10;14;29;613.5;2
20201005;8;84;90;116;3200.0;2
20201006;8;114;136;138;3739.5;2
20201007;8;66;80;127;2512.5;2
20201008;8;100;119;141;4302.5;2
20201009;8;101;119;129;3229.0;2
20201010;1;5;8;13;267.0;1
20201013;8;42;47;104;1565.0;2
20201014;8;112;129;137;3471.0;2
20201015;8;90;111;140;4181.0;2
20201016;8;71;82;116;2060.0;2
20201017;2;6;6;28;819.0;2
20201019;8;94;107;137;3009.5;2
20201020;8;85;97;136;2673.0;2
20201021;6;40;43;76;1160.5;2
20201022;8;111;127;148;3437.0;2
20201023;8;116;130;145;3818.0;2
20201024;3;9;10;35;937.5;2
20201026;8;67;78;116;1839.5;2
20201027;8;100;116;154;3597.0;2
20201028;7;115;128;147;3092.5;2
20201029;8;127;136;150;3946.5;2
20201030;8;98;122;149;3513.0;2
20201031;2;4;7;15;375.0;1
20201102;8;98;109;132;3078.5;2
20201103;8;93;112;144;4042.5;2
20201104;8;112;131;148;3953.5;2
20201105;8;113;128;146;4080.0;2
20201106;8;114;136;141;3350.5;2
20201107;2;6;11;18;333.5;1
20201109;7;63;70;94;1746.5;2
20201110;8;114;129;142;3499.5;2
20201111;8;101;123;143;3437.5;2
20201112;8;92;107;142;3684.5;2
20201113;8;108;122;144;3670.5;2
20201114;2;7;8;19;388.0;2
20201116;7;89;97;137;2939.5;2
20201117;7;106;122;140;3288.5;2
20201118;8;98;108;139;3541.0;2
20201119;8;109;126;141;3447.5;2
20201120;8;114;132;140;3401.5;2
20201121;1;11;12;13;226.5;1
20201123;7;68;74;128;2595.0;2
20201124;8;78;85;128;2685.5;2
20201125;7;79;83;137;2425.0;2
20201126;7;84;98;133;2971.0;2
20201127;7;79;93;137;3129.5;2
20201128;3;8;11;31;776.0;2
20201130;6;57;70;117;2327.5;2
