;date;driver;distance;driverLoc
0;2020-10-05;1.0;1711.01;2496
1;2020-10-05;2001.0;196.64;2495
2;2020-10-05;2006.0;194.71;2496
3;2020-10-05;2019.0;254.88;2496
4;2020-10-05;2026.0;139.58;2496
5;2020-10-05;2040.0;214.87;2496
6;2020-10-05;2047.0;146.49;2496
7;2020-10-05;2057.0;170.21;2496
8;2020-10-05;2068.0;198.89;2496
9;2020-10-05;2072.0;181.52;2496
10;2020-10-05;2120.0;196.64;2495
11;2020-10-05;2149.0;329.35;2495
12;2020-10-05;2158.0;231.43;2495
13;2020-10-05;2167.0;293.47;2495
14;2020-10-05;10124.0;74.37;2489
15;2020-10-05;10228.0;99.67;2489
16;2020-10-05;14340.0;290.72;2493
17;2020-10-05;14347.0;163.61;2493
18;2020-10-05;14417.0;124.02;2491
19;2020-10-05;15083.0;94.08;2490
20;2020-10-05;15102.0;51.39;2494
21;2020-10-05;15103.0;62.65;2490
22;2020-10-05;15107.0;100.43;2491
23;2020-10-05;15110.0;95.75;2489
24;2020-10-05;15112.0;112.94;2490
25;2020-10-05;15138.0;78.36;2489
26;2020-10-05;15143.0;107.84;2491
27;2020-10-05;15150.0;586.25;2492
28;2020-10-05;15151.0;127.61;2489
29;2020-10-05;15161.0;125.67;2491
30;2020-10-05;15173.0;88.74;2490
31;2020-10-05;15176.0;105.41;2491
32;2020-10-05;15213.0;102.83;2489
33;2020-10-05;15223.0;102.83;2489
34;2020-10-05;15228.0;103.10;2489
35;2020-10-05;15243.0;60.77;2491
36;2020-10-05;15245.0;79.41;2491
37;2020-10-05;15246.0;74.37;2489
38;2020-10-05;15274.0;92.26;2489
39;2020-10-05;15277.0;100.98;2490
40;2020-10-05;15305.0;29.06;2489
41;2020-10-05;15343.0;488.51;2492
42;2020-10-05;15347.0;134.38;2489
43;2020-10-05;15358.0;85.16;2491
44;2020-10-05;15369.0;100.98;2490
45;2020-10-05;15376.0;92.96;2489
46;2020-10-05;15377.0;96.22;2489
47;2020-10-05;15383.0;60.77;2491
48;2020-10-05;15392.0;576.58;2492
49;2020-10-05;15398.0;32.46;2494
50;2020-10-05;15401.0;117.92;2489
51;2020-10-05;15405.0;127.57;2489
52;2020-10-05;15408.0;561.69;2492
53;2020-10-05;15414.0;533.47;2492
54;2020-10-05;15415.0;113.67;2490
55;2020-10-05;15422.0;121.42;2489
56;2020-10-05;15423.0;75.34;2490
57;2020-10-05;15428.0;97.79;2489
58;2020-10-05;15431.0;96.01;2491
59;2020-10-05;15432.0;102.83;2489
60;2020-10-05;15435.0;119.94;2489
61;2020-10-05;15436.0;119.34;2489
62;2020-10-05;15446.0;75.34;2490
63;2020-10-05;15450.0;131.24;2493
64;2020-10-05;15451.0;60.77;2491
65;2020-10-05;15457.0;531.96;2492
66;2020-10-05;15459.0;59.07;2490
67;2020-10-05;15460.0;79.30;2491
68;2020-10-05;15479.0;234.06;2493
