,depot,order,driver
2020-10-01,8,118,117
2020-10-02,8,89,120
2020-10-03,8,15,32
2020-10-05,8,91,109
2020-10-06,8,138,125
2020-10-07,8,80,124
2020-10-08,8,120,124
2020-10-09,8,125,114
2020-10-10,8,8,13
2020-10-13,8,47,99
2020-10-14,8,130,124
2020-10-15,8,115,124
2020-10-16,8,86,113
2020-10-17,8,6,29
2020-10-19,8,107,121
2020-10-20,8,97,133
2020-10-21,8,44,78
2020-10-22,8,130,137
2020-10-23,8,131,131
2020-10-24,8,11,37
2020-10-26,8,78,116
2020-10-27,8,116,132
2020-10-28,8,130,136
2020-10-29,8,137,131
2020-10-30,8,123,133
2020-10-31,8,7,15
2020-11-02,8,111,126
2020-11-03,8,113,125
2020-11-04,8,132,129
2020-11-05,8,128,128
2020-11-06,8,139,125
2020-11-09,8,70,94
2020-11-10,8,129,124
2020-11-11,8,123,126
2020-11-12,8,107,121
2020-11-13,8,122,123
2020-11-14,8,8,19
2020-11-16,8,97,122
2020-11-17,8,122,124
2020-11-18,8,109,125
2020-11-19,8,126,121
2020-11-20,8,132,120
2020-11-23,8,74,119
2020-11-24,8,86,125
2020-11-25,8,85,128
2020-11-26,8,98,121
2020-11-27,8,93,121
2020-11-28,8,11,27
2020-11-30,8,77,108
