id_origin;origin;id_destination;destination;distance; duree
2489;300 RUE SAULNIER;0;261 RUE QUEEN;32516;1914
0;261 RUE QUEEN;2489;300 RUE SAULNIER;29263;1713
2489;300 RUE SAULNIER;1;1035 RUE FRANC-BOURGEOIS;16911;1057
1;1035 RUE FRANC-BOURGEOIS;2489;300 RUE SAULNIER;17203;920
2489;300 RUE SAULNIER;2;3565 BUILLON;16075;1974
2;3565 BUILLON;2489;300 RUE SAULNIER;22552;1831
2489;300 RUE SAULNIER;3;3400 BOUL MAISONNEUVE OUEST;29371;1822
3;3400 BOUL MAISONNEUVE OUEST;2489;300 RUE SAULNIER;27421;1429
2489;300 RUE SAULNIER;4;2345 THIMENS;16343;1402
4;2345 THIMENS;2489;300 RUE SAULNIER;15078;1294
2489;300 RUE SAULNIER;5;199  RUE DU CANADA;14888;919
5;199  RUE DU CANADA;2489;300 RUE SAULNIER;17542;1149
2489;300 RUE SAULNIER;6;1415 JEAN PAUL RIOPEL;26063;1369
6;1415 JEAN PAUL RIOPEL;2489;300 RUE SAULNIER;28762;1487
2489;300 RUE SAULNIER;7;FAIRVIEW & VOIE DE SERVICE;2728849;94111
7;FAIRVIEW & VOIE DE SERVICE;2489;300 RUE SAULNIER;2724930;93863
2489;300 RUE SAULNIER;8;GAUMONT & AUT 440;4596675;151929
8;GAUMONT & AUT 440;2489;300 RUE SAULNIER;4597014;151978
2489;300 RUE SAULNIER;9;GAUMONT & AUT 40;4596675;151929
9;GAUMONT & AUT 40;2489;300 RUE SAULNIER;4597014;151978
2489;300 RUE SAULNIER;10;411 RUE DUBUC;33061;1701
10;411 RUE DUBUC;2489;300 RUE SAULNIER;35029;1885
2489;300 RUE SAULNIER;11;7833 AVE DES ERABLES;10328;986
11;7833 AVE DES ERABLES;2489;300 RUE SAULNIER;12473;1202
2489;300 RUE SAULNIER;12;LAURENTIEN & PERINAULT;263679;9404
12;LAURENTIEN & PERINAULT;2489;300 RUE SAULNIER;266867;9586
2489;300 RUE SAULNIER;13;PIERRE DE COUBERTIN & MONSABRE;7753;654
13;PIERRE DE COUBERTIN & MONSABRE;2489;300 RUE SAULNIER;11313;871
2489;300 RUE SAULNIER;14;AVENUE PIERRE-DE COUBERTIN & MONSABRE;21371;1049
14;AVENUE PIERRE-DE COUBERTIN & MONSABRE;2489;300 RUE SAULNIER;24422;1304
2489;300 RUE SAULNIER;15;56E AVENUE & ET DE LA MARTINIERE;28657;1461
15;56E AVENUE & ET DE LA MARTINIERE;2489;300 RUE SAULNIER;28540;1459
2489;300 RUE SAULNIER;16;COTE VERTU & MONTPELLIER;16934;1186
16;COTE VERTU & MONTPELLIER;2489;300 RUE SAULNIER;16087;1094
2489;300 RUE SAULNIER;17;CHRISTOPHE COLOMB & BOUL CREMAZIE E;7106;479
17;CHRISTOPHE COLOMB & BOUL CREMAZIE E;2489;300 RUE SAULNIER;9596;800
2489;300 RUE SAULNIER;18;PIE IX ET CHARLEROI;7152;512
18;PIE IX ET CHARLEROI;2489;300 RUE SAULNIER;11217;867
2489;300 RUE SAULNIER;19;10451   SECANT;15917;858
19;10451   SECANT;2489;300 RUE SAULNIER;18759;1051
2489;300 RUE SAULNIER;20;ROSEMONT & GARNIER;1386102;48153
20;ROSEMONT & GARNIER;2489;300 RUE SAULNIER;1388793;48156
2489;300 RUE SAULNIER;21;PIE XI & HEREL;237743;9198
21;PIE XI & HEREL;2489;300 RUE SAULNIER;240805;9306
2489;300 RUE SAULNIER;23;PIE IX ET DES GRANDES PRAIRIES;8826;817
23;PIE IX ET DES GRANDES PRAIRIES;2489;300 RUE SAULNIER;12369;1116
2489;300 RUE SAULNIER;24;PIE-IX & BOUL ST-JOSEPH EST;9878;965
24;PIE-IX & BOUL ST-JOSEPH EST;2489;300 RUE SAULNIER;13423;1290
2489;300 RUE SAULNIER;25;PIE IX & 47E RUE;9878;965
25;PIE IX & 47E RUE;2489;300 RUE SAULNIER;13423;1290
2489;300 RUE SAULNIER;26;JEAN TALON & ACADIE;12082;1254
26;JEAN TALON & ACADIE;2489;300 RUE SAULNIER;18947;1309
2489;300 RUE SAULNIER;27;PIE IX & BELANGER;9878;965
27;PIE IX & BELANGER;2489;300 RUE SAULNIER;13423;1290
2489;300 RUE SAULNIER;28;BOUL LAURENTIEN & DE SALABERRY;12818;1063
28;BOUL LAURENTIEN & DE SALABERRY;2489;300 RUE SAULNIER;12246;849
2489;300 RUE SAULNIER;29;BOUL PIE-IX & VILLERAY;9878;965
29;BOUL PIE-IX & VILLERAY;2489;300 RUE SAULNIER;13423;1290
2489;300 RUE SAULNIER;30;PIERRE DE COUBERTIN & CADILLAC;7753;654
30;PIERRE DE COUBERTIN & CADILLAC;2489;300 RUE SAULNIER;11313;871
2489;300 RUE SAULNIER;31;PIERRE-DE COUBERTIN &  DICKSON;10291;1060
31;PIERRE-DE COUBERTIN &  DICKSON;2489;300 RUE SAULNIER;13846;1288
2489;300 RUE SAULNIER;32;1720 BOUL CURE POIRIER EST;29840;1474
32;1720 BOUL CURE POIRIER EST;2489;300 RUE SAULNIER;33571;1855
2489;300 RUE SAULNIER;33;745 ESTHER BLONDIN;28302;1499
33;745 ESTHER BLONDIN;2489;300 RUE SAULNIER;26737;1324
2489;300 RUE SAULNIER;34;3712 THE BOULEVARD;24664;1674
34;3712 THE BOULEVARD;2489;300 RUE SAULNIER;23144;1396
2489;300 RUE SAULNIER;35;2280 COTE-VERTU;23214;1394
35;2280 COTE-VERTU;2489;300 RUE SAULNIER;20085;1144
2489;300 RUE SAULNIER;36;21 RUE RONSARD;42610;2194
36;21 RUE RONSARD;2489;300 RUE SAULNIER;40879;2012
2489;300 RUE SAULNIER;37;JULES-POITRAS & DEGUIRE;14180;869
37;JULES-POITRAS & DEGUIRE;2489;300 RUE SAULNIER;14352;867
2489;300 RUE SAULNIER;38;DEGUIRE & JULES-POITRAS;2858424;95707
38;DEGUIRE & JULES-POITRAS;2489;300 RUE SAULNIER;2854558;95524
2489;300 RUE SAULNIER;39;1001 URGEL CHAREST;70783;2922
39;1001 URGEL CHAREST;2489;300 RUE SAULNIER;62488;2700
2489;300 RUE SAULNIER;40;JEAN-TALON & L'ACADIE;12082;1254
40;JEAN-TALON & L'ACADIE;2489;300 RUE SAULNIER;18947;1309
2489;300 RUE SAULNIER;41;BELLECHASSE & BORDEAU;291872;10400
41;BELLECHASSE & BORDEAU;2489;300 RUE SAULNIER;294825;10602
2489;300 RUE SAULNIER;42;BELLECHASSE & DE LAROCHE;291872;10400
42;BELLECHASSE & DE LAROCHE;2489;300 RUE SAULNIER;294825;10602
2489;300 RUE SAULNIER;43;1250 GUY;29043;1757
43;1250 GUY;2489;300 RUE SAULNIER;27460;1429
2489;300 RUE SAULNIER;44;PIE-IX &  DENIS PAPIN;9878;965
44;PIE-IX &  DENIS PAPIN;2489;300 RUE SAULNIER;13423;1290
2489;300 RUE SAULNIER;45;PIE-IX & DANDURAND;9878;965
45;PIE-IX & DANDURAND;2489;300 RUE SAULNIER;13423;1290
2489;300 RUE SAULNIER;46;4820 4E AVENUE;14651;1595
46;4820 4E AVENUE;2489;300 RUE SAULNIER;24096;1685
2489;300 RUE SAULNIER;47;220 RUE PEEL;32596;1948
47;220 RUE PEEL;2489;300 RUE SAULNIER;29571;1809
2489;300 RUE SAULNIER;48;JOHN MOLSON;56395;2460
48;JOHN MOLSON;2489;300 RUE SAULNIER;56417;2374
2489;300 RUE SAULNIER;49;10765 LAJEUNESSE;7801;577
49;10765 LAJEUNESSE;2489;300 RUE SAULNIER;6267;717
2489;300 RUE SAULNIER;50;ELM & WATERMAIN;2119528;72119
50;ELM & WATERMAIN;2489;300 RUE SAULNIER;2117052;71962
2489;300 RUE SAULNIER;51;6650 39 IEME AVENUE;21999;1218
51;6650 39 IEME AVENUE;2489;300 RUE SAULNIER;25354;1500
2489;300 RUE SAULNIER;52;8325 AVE CHRISTOPHE-COLOMB;10407;1008
52;8325 AVE CHRISTOPHE-COLOMB;2489;300 RUE SAULNIER;17987;1005
2489;300 RUE SAULNIER;53;1 MAISONNEUVE OUEST;16655;1959
53;1 MAISONNEUVE OUEST;2489;300 RUE SAULNIER;30763;1709
2489;300 RUE SAULNIER;54;BOUL. ROME;44523;2005
54;BOUL. ROME;2489;300 RUE SAULNIER;37530;1934
2489;300 RUE SAULNIER;55;BOUL. ST-CHARLES;30862;1572
55;BOUL. ST-CHARLES;2489;300 RUE SAULNIER;30793;1364
2489;300 RUE SAULNIER;56;CH. STE-MARIE & JEAN-YVES;138674;5094
56;CH. STE-MARIE & JEAN-YVES;2489;300 RUE SAULNIER;143580;5260
2489;300 RUE SAULNIER;57;1900 RUE JACQUES-TETREAULT;5746;679
57;1900 RUE JACQUES-TETREAULT;2489;300 RUE SAULNIER;5822;690
2489;300 RUE SAULNIER;58;FAIRVIEW & VOIE DE SERV. 40;2728849;94111
58;FAIRVIEW & VOIE DE SERV. 40;2489;300 RUE SAULNIER;2724930;93863
2489;300 RUE SAULNIER;59;425 BRIDGE;39976;1817
59;425 BRIDGE;2489;300 RUE SAULNIER;29037;1711
2489;300 RUE SAULNIER;60;JEAN-TALON & DUNKIRK;12082;1254
60;JEAN-TALON & DUNKIRK;2489;300 RUE SAULNIER;18947;1309
2489;300 RUE SAULNIER;61;1356 VAN GOGH;39286;1615
61;1356 VAN GOGH;2489;300 RUE SAULNIER;42427;1886
2489;300 RUE SAULNIER;62;3801 F.X.-TESSIER & MARIE CURIE;47349;2146
62;3801 F.X.-TESSIER & MARIE CURIE;2489;300 RUE SAULNIER;48039;2148
2489;300 RUE SAULNIER;63;155 STINSON;18763;933
63;155 STINSON;2489;300 RUE SAULNIER;17484;864
2489;300 RUE SAULNIER;64;420 AVENUE VIGER EST;31403;1721
64;420 AVENUE VIGER EST;2489;300 RUE SAULNIER;29750;1476
2489;300 RUE SAULNIER;65;6893 RUE SHERBROOKE E;19987;1006
65;6893 RUE SHERBROOKE E;2489;300 RUE SAULNIER;23568;1261
2489;300 RUE SAULNIER;66;11175 BOUL METROPOLITAIN EST;22221;987
66;11175 BOUL METROPOLITAIN EST;2489;300 RUE SAULNIER;23282;1112
2489;300 RUE SAULNIER;67;5050 18E AVE;14619;1606
67;5050 18E AVE;2489;300 RUE SAULNIER;23963;1617
2489;300 RUE SAULNIER;68;ALFRED-NOBEL;22818;1219
68;ALFRED-NOBEL;2489;300 RUE SAULNIER;23270;1174
2489;300 RUE SAULNIER;69;6790 TRANSCANADIENNE;28418;1584
69;6790 TRANSCANADIENNE;2489;300 RUE SAULNIER;28530;1394
2489;300 RUE SAULNIER;71;4855 AVE.PIERRE-DE COUBERTIN;24349;1240
