,date,order,driver,distance,driverLoc
0,2020-10-05,917234,15398.0,4.24,2494
1,2020-10-05,917234,7000031.0,39.98,2491
2,2020-10-05,917234,7000062.0,4.24,2494
3,2020-10-05,920229,15083.0,25.70,2490
4,2020-10-05,920229,15103.0,25.70,2490
5,2020-10-05,920229,15173.0,25.70,2490
6,2020-10-05,920229,15277.0,25.70,2490
7,2020-10-05,920229,15369.0,25.70,2490
8,2020-10-05,920230,15083.0,30.84,2490
9,2020-10-05,920230,15173.0,30.84,2490
10,2020-10-05,920230,15459.0,30.84,2490
11,2020-10-05,920230,15558.0,61.68,2490
12,2020-10-05,921407,15103.0,36.95,2490
13,2020-10-05,921407,15423.0,36.95,2490
14,2020-10-05,921407,15446.0,36.95,2490
15,2020-10-05,921407,7000066.0,36.95,2490
16,2020-10-05,922129,10124.0,74.37,2489
17,2020-10-05,922129,10228.0,37.18,2489
18,2020-10-05,922129,15110.0,37.18,2489
19,2020-10-05,922129,15151.0,18.59,2489
20,2020-10-05,922129,15213.0,18.59,2489
21,2020-10-05,922129,15223.0,18.59,2489
22,2020-10-05,922129,15246.0,74.37,2489
23,2020-10-05,922129,15376.0,92.96,2489
24,2020-10-05,922129,15377.0,74.37,2489
25,2020-10-05,922129,15405.0,18.59,2489
26,2020-10-05,922129,15422.0,37.18,2489
27,2020-10-05,922129,15428.0,18.59,2489
28,2020-10-05,922129,15432.0,18.59,2489
29,2020-10-05,922129,15435.0,37.18,2489
30,2020-10-05,922129,15436.0,37.18,2489
31,2020-10-05,922496,2006.0,123.53,2496
32,2020-10-05,922496,2019.0,82.35,2496
33,2020-10-05,922496,2026.0,41.17,2496
34,2020-10-05,922496,2040.0,123.53,2496
35,2020-10-05,922496,2047.0,82.35,2496
36,2020-10-05,922496,2068.0,123.53,2496
37,2020-10-05,922496,2072.0,41.17,2496
38,2020-10-05,922496,15560.0,82.35,2496
39,2020-10-05,922496,7000054.0,82.35,2496
40,2020-10-05,922496,7000067.0,123.53,2496
41,2020-10-05,922657,15414.0,92.43,2492
42,2020-10-05,922657,15457.0,92.43,2492
43,2020-10-05,922657,15553.0,92.43,2492
44,2020-10-05,922657,15578.0,92.43,2492
45,2020-10-05,922657,7000041.0,92.43,2492
46,2020-10-05,922701,15102.0,21.17,2494
47,2020-10-05,922701,15398.0,28.23,2494
48,2020-10-05,922701,15507.0,28.23,2494
49,2020-10-05,922701,15516.0,62.93,2491
50,2020-10-05,922701,15611.0,69.98,2491
51,2020-10-05,922701,7000031.0,55.87,2491
52,2020-10-05,922701,7000059.0,21.17,2494
53,2020-10-05,922701,7000062.0,35.28,2494
54,2020-10-05,922918,14417.0,20.26,2491
55,2020-10-05,922918,15107.0,60.77,2491
56,2020-10-05,922918,15143.0,40.51,2491
57,2020-10-05,922918,15161.0,81.03,2491
58,2020-10-05,922918,15176.0,60.77,2491
59,2020-10-05,922918,15243.0,60.77,2491
60,2020-10-05,922918,15245.0,40.51,2491
61,2020-10-05,922918,15358.0,40.51,2491
62,2020-10-05,922918,15383.0,60.77,2491
63,2020-10-05,922918,15431.0,40.51,2491
64,2020-10-05,922918,15451.0,60.77,2491
65,2020-10-05,922918,15460.0,60.77,2491
66,2020-10-05,922918,7000042.0,60.77,2491
67,2020-10-05,922918,7000052.0,40.51,2491
68,2020-10-05,922918,7000063.0,20.26,2491
69,2020-10-05,922928,15112.0,38.39,2490
70,2020-10-05,922928,15277.0,38.39,2490
71,2020-10-05,922928,15369.0,38.39,2490
72,2020-10-05,922928,15415.0,76.78,2490
73,2020-10-05,922928,15423.0,38.39,2490
74,2020-10-05,922928,15446.0,38.39,2490
75,2020-10-05,922928,15486.0,76.78,2490
76,2020-10-05,922928,15488.0,38.39,2490
77,2020-10-05,922928,7000029.0,38.39,2490
78,2020-10-05,923003,2019.0,106.18,2496
79,2020-10-05,923003,15560.0,106.18,2496
80,2020-10-05,923248,15150.0,254.66,2492
81,2020-10-05,923248,15343.0,254.66,2492
82,2020-10-05,923248,15392.0,381.98,2492
83,2020-10-05,923248,15408.0,381.98,2492
84,2020-10-05,923248,15414.0,127.33,2492
85,2020-10-05,923248,15457.0,254.66,2492
86,2020-10-05,923248,15547.0,127.33,2492
87,2020-10-05,923248,15553.0,254.66,2492
88,2020-10-05,923248,15562.0,254.66,2492
89,2020-10-05,923248,15578.0,127.33,2492
90,2020-10-05,923248,15614.0,254.66,2492
91,2020-10-05,923248,7000032.0,254.66,2492
92,2020-10-05,923252,2001.0,82.73,2495
93,2020-10-05,923252,2120.0,82.73,2495
94,2020-10-05,923252,2158.0,82.73,2495
95,2020-10-05,923252,14340.0,168.53,2493
96,2020-10-05,923252,15550.0,82.73,2495
97,2020-10-05,923252,15582.0,82.73,2495
98,2020-10-05,923252,15606.0,82.73,2495
99,2020-10-05,923252,15612.0,82.73,2495
100,2020-10-05,923252,7000011.0,168.53,2493
101,2020-10-05,923263,2149.0,53.30,2495
102,2020-10-05,923263,2167.0,53.30,2495
103,2020-10-05,923263,15274.0,50.14,2489
104,2020-10-05,923263,15347.0,50.14,2489
105,2020-10-05,923263,15405.0,50.14,2489
106,2020-10-05,923263,15428.0,50.14,2489
107,2020-10-05,923263,15431.0,55.49,2491
108,2020-10-05,923263,15588.0,53.30,2495
109,2020-10-05,923263,15605.0,53.30,2495
110,2020-10-05,923334,15553.0,107.47,2492
111,2020-10-05,923334,15614.0,107.47,2492
112,2020-10-05,923334,7000032.0,107.47,2492
113,2020-10-05,923334,7000041.0,107.47,2492
