instance;Del;Order;Cust;Driver;Cap;rank;Load;Prev;TravelToDock;Dock;ArrDock;FinDock;TravelToDel;ArrDel;Waiting;StartDel;FinDel;Next;Depot;ELT;LTW
B_8_20_4;88;0;0;5;20;1;10;133;20;151;411;411;9;420;0;420;440;83;0;420;440
B_8_20_4;89;1;1;7;20;1;10;144;24;152;292;292;28;320;0;320;340;186;1;320;340
B_8_20_4;90;2;2;2;15;1;15;101;28;153;158;158;2;160;0;160;175;204;2;160;200
B_8_20_4;91;3;3;5;20;1;20;82;14;154;76;76;4;80;0;80;100;174;1;80;120
B_8_20_4;93;4;4;6;20;1;20;84;16;156;48;48;2;50;0;50;70;173;0;50;90
B_8_20_4;95;5;5;6;20;1;20;131;45;158;397;397;13;410;0;410;430;85;3;410;450
B_8_20_4;96;5;5;3;15;1;5;132;45;159;417;417;13;430;0;430;445;79;3;410;450
B_8_20_4;97;6;6;4;15;1;15;80;25;160;105;105;5;110;0;110;125;200;2;110;160
B_8_20_4;98;6;6;3;15;1;10;105;25;161;120;120;5;125;0;125;140;171;2;110;160
B_8_20_4;99;7;7;4;15;1;15;120;13;162;416;416;2;418;-8;418;433;163;3;410;460
B_8_20_4;100;7;7;4;15;1;10;99;2;163;435;435;2;437;-4;437;452;81;3;410;460
B_8_20_4;101;8;8;2;15;1;15;76;16;164;53;53;27;80;0;80;95;153;0;80;140
B_8_20_4;102;8;8;1;15;1;15;74;16;165;68;68;27;95;0;95;110;170;0;80;140
B_8_20_4;103;8;8;0;15;1;5;72;16;166;83;83;27;110;0;110;125;175;0;80;140
B_8_20_4;104;9;9;7;20;1;20;86;14;167;56;56;4;60;0;60;80;199;1;60;110
B_8_20_4;105;9;9;3;15;1;15;78;14;168;76;76;4;80;0;80;95;161;1;60;110
B_8_20_4;107;10;10;1;15;1;15;102;35;170;155;155;15;170;0;170;185;209;3;170;220
B_8_20_4;108;10;10;3;15;1;15;98;17;171;170;170;15;185;0;185;200;210;3;170;220
B_8_20_4;109;10;10;4;15;1;10;137;10;172;185;185;15;200;0;200;215;211;3;170;220
B_8_20_4;110;11;11;6;20;1;20;93;2;173;122;122;18;140;0;140;160;201;0;140;220
B_8_20_4;111;11;11;5;20;1;0;91;32;174;142;142;18;160;0;160;180;202;0;140;220
B_8_20_4;112;11;11;0;15;1;10;103;27;175;162;162;18;180;0;180;195;179;0;140;220
B_8_20_4;114;12;12;6;20;1;0;138;28;177;228;228;30;258;-28;258;278;194;0;230;320
B_8_20_4;115;12;12;5;20;1;20;139;28;178;250;250;30;280;-2;280;300;196;0;230;320
B_8_20_4;116;12;12;0;15;1;10;112;18;179;270;270;30;300;0;300;315;185;0;230;320
B_8_20_4;118;13;13;4;15;1;15;129;10;181;352;352;6;358;-28;358;373;183;1;330;460
B_8_20_4;119;13;13;2;15;1;15;130;10;182;367;367;6;373;0;373;388;184;1;330;460
B_8_20_4;120;13;13;4;15;1;15;118;6;183;382;382;6;388;0;388;403;162;1;330;460
B_8_20_4;121;13;13;2;15;1;10;119;6;184;397;397;6;403;0;403;418;77;1;330;460
B_8_20_4;122;14;14;0;15;1;15;116;44;185;377;377;3;380;0;380;395;187;2;380;460
B_8_20_4;123;14;14;7;20;1;20;89;50;186;392;392;3;395;0;395;415;188;2;380;460
B_8_20_4;124;14;14;0;15;1;15;122;3;187;412;412;3;415;0;415;430;73;2;380;460
B_8_20_4;125;14;14;7;20;1;10;123;3;188;427;427;3;430;0;430;450;87;2;380;460
B_8_20_4;126;15;15;2;15;1;15;143;24;189;262;262;10;272;-2;272;287;191;1;270;370
B_8_20_4;127;15;15;4;15;1;15;148;15;190;282;282;10;292;-5;292;307;192;1;270;370
B_8_20_4;128;15;15;2;15;1;15;126;10;191;297;297;10;307;0;307;322;193;1;270;370
B_8_20_4;129;15;15;4;15;1;15;127;10;192;317;317;10;327;-5;327;342;181;1;270;370
B_8_20_4;130;15;15;2;15;1;5;128;10;193;332;332;10;342;0;342;357;182;1;270;370
B_8_20_4;131;16;16;6;20;1;20;114;30;194;308;308;20;328;-38;328;348;158;0;290;410
B_8_20_4;132;16;16;3;15;1;15;150;28;195;328;328;20;348;0;348;363;159;0;290;410
B_8_20_4;133;16;16;5;20;1;20;115;30;196;343;343;20;363;0;363;383;151;0;290;410
B_8_20_4;134;16;16;1;15;1;15;149;28;197;363;363;20;383;0;383;398;75;0;290;410
B_8_20_4;136;17;17;7;20;1;20;104;4;199;138;138;2;140;0;140;160;205;1;140;230
B_8_20_4;137;17;17;4;15;1;0;97;25;200;158;158;2;160;0;160;175;172;1;140;230
B_8_20_4;138;17;17;6;20;1;20;110;18;201;178;178;2;180;-5;180;200;177;1;140;230
B_8_20_4;139;17;17;5;20;1;15;111;18;202;198;198;2;200;0;200;220;178;1;140;230
B_8_20_4;141;18;18;2;15;1;15;90;2;204;177;177;8;185;-5;185;200;206;2;180;270
B_8_20_4;142;18;18;7;20;1;20;136;24;205;192;192;8;200;0;200;220;207;2;180;270
B_8_20_4;143;18;18;2;15;1;15;141;8;206;212;212;8;220;0;220;235;189;2;180;270
B_8_20_4;144;18;18;7;20;1;20;142;8;207;228;228;8;236;-1;236;256;152;2;180;270
B_8_20_4;146;19;19;1;15;1;0;107;22;209;207;207;15;222;-72;222;237;212;1;150;300
B_8_20_4;147;19;19;3;15;1;15;108;22;210;222;222;15;237;0;237;252;213;1;150;300
B_8_20_4;148;19;19;4;15;1;15;109;22;211;237;237;15;252;0;252;267;190;1;150;300
B_8_20_4;149;19;19;1;15;1;15;146;15;212;254;254;15;269;-2;269;284;197;1;150;300
B_8_20_4;150;19;19;3;15;1;10;147;15;213;269;269;15;284;0;284;299;195;1;150;300
