instance;Del;Order;Cust;Driver;Cap;rank;Load;Prev;TravelToDock;Dock;ArrDock;FinDock;TravelToDel;ArrDel;Waiting;StartDel;FinDel;Next;Depot;ELT;LTW
B_8_20_4;88;0;0;7;20;1;10;133;20;151;411;411;9;420;0;420;440;87;0;420;440
B_8_20_4;89;1;1;2;15;1;10;143;24;152;292;292;28;320;0;320;335;158;1;320;340
B_8_20_4;90;2;2;2;15;1;15;76;25;153;158;158;2;160;0;160;175;204;2;160;200
B_8_20_4;95;5;5;2;15;1;15;89;36;158;397;397;13;410;0;410;425;77;3;410;450
B_8_20_4;96;5;5;6;20;1;10;132;45;159;412;412;13;425;0;425;445;85;3;410;450
B_8_20_4;99;7;7;5;20;1;20;122;14;162;414;414;2;416;-6;416;436;83;3;410;460
B_8_20_4;100;7;7;1;15;1;5;123;14;163;434;434;2;436;0;436;451;75;3;410;460
B_8_20_4;110;11;11;0;15;1;15;72;16;173;122;122;18;140;0;140;155;205;0;140;220
B_8_20_4;111;11;11;5;20;1;20;82;16;174;137;137;18;155;0;155;175;177;0;140;220
B_8_20_4;112;11;11;1;15;1;15;74;16;175;157;157;18;175;0;175;190;208;0;140;220
B_8_20_4;114;12;12;5;20;1;20;111;18;177;200;200;30;230;0;230;250;192;0;230;320
B_8_20_4;115;12;12;6;20;1;0;146;28;178;225;225;30;255;-5;255;275;195;0;230;320
B_8_20_4;116;12;12;7;20;1;10;147;28;179;245;245;30;275;0;275;295;196;0;230;320
B_8_20_4;118;13;13;3;15;1;15;127;10;181;324;324;6;330;0;330;345;183;1;330;460
B_8_20_4;119;13;13;0;15;1;15;128;10;182;339;339;6;345;0;345;360;184;1;330;460
B_8_20_4;120;13;13;3;15;1;15;118;6;183;354;354;6;360;0;360;375;187;1;330;460
B_8_20_4;121;13;13;0;15;1;10;119;6;184;369;369;6;375;0;375;390;188;1;330;460
B_8_20_4;122;14;14;5;20;1;20;129;33;185;377;377;3;380;0;380;400;162;2;380;460
B_8_20_4;123;14;14;1;15;1;15;131;54;186;397;397;3;400;0;400;415;163;2;380;460
B_8_20_4;124;14;14;3;15;1;15;120;28;187;412;412;3;415;0;415;430;79;2;380;460
B_8_20_4;125;14;14;0;15;1;10;121;28;188;427;427;3;430;0;430;445;73;2;380;460
B_8_20_4;126;15;15;4;15;1;15;148;15;189;260;260;10;270;0;270;285;197;1;270;370
B_8_20_4;127;15;15;3;15;1;15;149;15;190;275;275;10;285;0;285;300;181;1;270;370
B_8_20_4;128;15;15;0;15;1;15;144;24;191;290;290;10;300;0;300;315;182;1;270;370
B_8_20_4;129;15;15;5;20;1;20;114;50;192;305;305;10;315;0;315;335;185;1;270;370
B_8_20_4;131;16;16;1;15;1;15;145;43;194;304;304;20;324;-34;324;339;186;0;290;410
B_8_20_4;132;16;16;6;20;1;20;115;30;195;319;319;20;339;0;339;359;159;0;290;410
B_8_20_4;133;16;16;7;20;1;20;116;30;196;339;339;20;359;0;359;379;151;0;290;410
B_8_20_4;134;16;16;4;15;1;15;126;27;197;359;359;20;379;0;379;394;81;0;290;410
B_8_20_4;136;17;17;6;20;1;20;84;14;199;138;138;2;140;0;140;160;209;1;140;230
B_8_20_4;137;17;17;7;20;1;20;86;14;200;158;158;2;160;0;160;180;210;1;140;230
B_8_20_4;138;17;17;4;15;1;0;80;14;201;178;178;2;180;0;180;195;211;1;140;230
B_8_20_4;139;17;17;3;15;1;15;78;14;202;193;193;2;195;0;195;210;212;1;140;230
B_8_20_4;141;18;18;2;15;1;15;90;2;204;177;177;8;185;-5;185;200;206;2;180;270
B_8_20_4;142;18;18;0;15;1;15;110;37;205;192;192;8;200;0;200;215;207;2;180;270
B_8_20_4;143;18;18;2;15;1;15;141;8;206;208;208;8;216;-1;216;231;152;2;180;270
B_8_20_4;144;18;18;0;15;1;15;142;8;207;223;223;8;231;0;231;246;191;2;180;270
B_8_20_4;145;18;18;1;15;1;10;112;37;208;238;238;8;246;0;246;261;194;2;180;270
B_8_20_4;146;19;19;6;20;1;20;136;2;209;162;162;15;177;-27;177;197;178;1;150;300
B_8_20_4;147;19;19;7;20;1;20;137;2;210;182;182;15;197;0;197;217;179;1;150;300
B_8_20_4;148;19;19;4;15;1;15;138;2;211;202;202;15;217;0;217;232;189;1;150;300
B_8_20_4;149;19;19;3;15;1;15;139;2;212;217;217;15;232;0;232;247;190;1;150;300
