instance;Del;Order;Cust;Driver;Load;ArrDock;FinDock;ArrDel;Waiting;StartDel;FinDel;ELT;LTW;Cap;rank;Prev;TravelToDock;Dock;TravelToDel;Next;Depot
20201021;293;0;0;59;1;595.255;596.055;660;0;660;662;660;2260;8;100000;118;0;460;53.945;119;0
20201021;294;1;1;70;1;754.304;754.748;780;0;780;782;780;2380;12;100000;419;7.78667;461;15.2517;141;1
20201021;295;2;2;33;2.5;779.426;780.537;810;0;810;815;810;2410;8;100000;324;19.6883;462;19.4633;67;1
20201021;296;3;3;43;3;571.923;573.545;600;0;600;606;600;2200;8;100000;318;21.9083;463;16.455;528;2
20201021;297;4;4;61;3;476.838;479.238;540;0;540;546;540;2140;8;100000;122;0;464;50.7617;524;0
20201021;298;5;5;56;3.5;620.03;622.443;660;0;660;667;660;2260;8;100000;112;0;465;27.5567;113;3
20201021;299;6;6;23;4;568.825;570.987;600;0;600;608;600;2200;8;100000;46;0;466;19.0133;47;2
20201021;300;7;7;60;4;712.855;716.055;780;0;780;788;780;2380;8;100000;352;39.8767;467;53.945;121;0
20201021;301;8;8;74;4.5;389.663;392.663;450;0;450;459;450;2050;12;100000;148;0;468;47.3367;149;5
20201021;302;9;9;28;5;459.986;462.688;490;0;490;500;490;2090;8;100000;56;0;469;17.3117;57;2
20201021;303;10;10;1;5;820.423;823.757;870;0;870;880;870;2470;8;100000;377;34.1083;470;36.2433;3;5
20201021;304;11;11;75;5.5;385.997;389.663;416.693;3.30667;420;431;420;2020;12;100000;150;0;471;17.03;536;5
20201021;305;12;12;20;5.5;438.513;442.18;465;0;465;476;465;2065;8;100000;40;0;472;12.82;538;5
20201021;306;13;13;66;6.5;877.719;883.29;900;0;900;913;900;2500;8;100000;389;1.09;473;6.71;133;4
20201021;307;14;14;32;7;726.639;729.75;750;0;750;764;750;2350;8;100000;323;19.6883;474;10.25;65;1
20201021;308;15;15;26;7.5;613.394;617.448;645;0;645;660;645;2245;8;100000;52;0;475;17.5517;53;2
20201021;309;16;16;29;8;627.876;632.2;660;0;660;676;660;2260;8;100000;317;21.9083;476;17.8;59;2
20201021;310;16;16;73;0.5;647.93;648.2;676;0;676;677;660;2260;12;100000;313;30.18;477;17.8;530;2
20201021;311;17;17;63;8;540.277;546.677;600;0;600;616;600;2200;8;100000;126;0;478;43.3233;522;0
20201021;312;17;17;64;1.5;561.477;562.677;616;0;616;619;600;2200;8;100000;128;0;479;43.3233;523;0
20201021;313;18;18;73;12;434.249;440.735;480;0;480;504;480;2080;12;100000;146;0;480;29.265;477;2
20201021;315;19;19;53;8;443.769;449.287;480;0;480;496;480;2080;8;100000;106;0;482;20.7133;567;3
20201021;316;19;19;45;6;461.149;465.287;496;0;496;508;480;2080;8;100000;90;0;483;20.7133;566;3
20201021;317;20;20;29;6;415.7;418.943;450;0;450;462;450;2050;8;100000;58;0;484;21.0567;476;2
20201021;318;21;20;43;8;426.619;430.943;462;0;462;478;450;2050;8;100000;86;0;485;21.0567;463;2
20201021;319;21;20;25;3;445.322;446.943;478;0;478;484;450;2050;8;100000;50;0;486;21.0567;51;2
20201021;320;22;21;9;8;727.83;734.687;750;0;750;766;750;2350;8;100000;390;1.09;487;5.31333;19;4
20201021;321;22;21;47;8;743.83;750.687;766;0;766;782;750;2350;8;100000;386;1.09;488;5.31333;95;4
20201021;322;22;21;10;3;764.115;766.687;782;0;782;788;750;2350;8;100000;384;1.09;489;5.31333;21;4
20201021;323;23;22;32;8;414.016;417.572;450;0;450;466;450;2050;8;100000;64;0;490;22.4283;474;1
20201021;324;23;22;33;8;430.016;433.572;466;0;466;482;450;2050;8;100000;66;0;491;22.4283;462;1
20201021;325;23;22;2;4;447.794;449.572;482;0;482;490;450;2050;8;100000;4;0;492;22.4283;5;1
20201021;326;24;23;0;8;509.187;514.52;540;0;540;556;540;2140;8;100000;365;34.1083;493;15.48;542;5
20201021;327;24;23;1;8;525.187;530.52;556;0;556;572;540;2140;8;100000;347;16.285;494;15.48;544;5
20201021;328;24;23;65;4;543.853;546.52;572;0;572;580;540;2140;8;100000;350;16.285;495;15.48;543;5
20201021;329;25;24;57;8;611.808;618.208;690;0;690;706;690;2290;8;100000;114;0;496;61.7917;115;0
20201021;330;25;24;58;8;627.808;634.208;706;0;706;722;690;2290;8;100000;116;0;497;61.7917;117;0
20201021;331;25;24;62;5;646.208;650.208;722;0;722;732;690;2290;8;100000;124;0;498;61.7917;125;0
20201021;332;26;25;72;12;721.306;726.639;746.546;3.45444;750;774;750;2350;12;100000;335;21.965;499;9.90667;145;1
20201021;333;26;25;37;8;750.538;754.093;774;0;774;790;750;2350;8;100000;413;7.78667;500;9.90667;75;1
20201021;334;26;25;36;2;769.204;770.093;790;0;790;794;750;2350;8;100000;420;7.78667;501;9.90667;73;1
20201021;335;27;26;72;12;560.422;565.755;600;0;600;624;600;2200;12;100000;408;7.78667;502;24.245;499;1
20201021;336;27;26;3;8;586.199;589.755;624;0;624;640;600;2200;8;100000;6;0;503;24.245;7;1
20201021;337;27;26;69;9.5;601.533;605.755;640;0;640;659;600;2200;12;100000;429;8.45667;504;24.245;139;1
20201021;339;28;27;51;8;689.623;696.48;720;0;720;736;720;2320;8;100000;388;1.09;506;13.52;103;4
20201021;340;28;27;52;8;705.623;712.48;736;0;736;752;720;2320;8;100000;391;1.09;507;13.52;105;4
20201021;341;28;27;6;8;720.972;727.83;751.35;0.650476;752;768;720;2320;8;100000;385;1.09;508;13.52;13;4
20201021;342;28;27;7;6;738.687;743.83;767.35;0.650476;768;780;720;2320;8;100000;14;0;509;13.52;15;4
20201021;343;29;28;15;8;629.187;634.52;660;0;660;676;660;2260;8;100000;368;34.1083;510;15.48;31;5
20201021;344;29;28;16;8;645.187;650.52;676;0;676;692;660;2260;8;100000;366;34.1083;511;15.48;33;5
20201021;345;29;28;14;8;661.187;666.52;692;0;692;708;660;2260;8;100000;370;34.1083;512;15.48;29;5
20201021;346;29;28;19;6.5;678.187;682.52;708;0;708;721;660;2260;8;100000;372;34.1083;513;15.48;39;5
20201021;347;30;29;1;8;380.663;385.997;411.477;8.52333;420;436;420;2020;8;100000;2;0;514;15.48;494;5
20201021;348;30;29;18;8;405.187;410.52;436;0;436;452;420;2020;8;100000;36;0;515;15.48;540;5
20201021;349;30;29;14;8;421.187;426.52;452;0;452;468;420;2020;8;100000;28;0;516;15.48;537;5
20201021;350;30;29;65;8;442.18;447.513;472.993;-4.99333;472.993;488.993;420;2020;8;100000;130;0;517;15.48;495;5
20201021;351;30;29;19;4;459.853;462.52;488;0.993333;488.993;496.993;420;2020;8;100000;38;0;518;15.48;539;5
20201021;352;31;30;60;8;603.847;610.247;660;0;660;676;660;2260;8;100000;120;0;519;39.7533;467;0
20201021;353;31;30;55;8;619.847;626.247;676;0;676;692;660;2260;8;100000;110;0;520;39.7533;111;0
20201021;354;31;30;54;8;635.847;642.247;692;0;692;708;660;2260;8;100000;108;0;521;39.7533;109;0
20201021;355;31;30;63;8;669.945;676.345;726.098;-18.0983;726.098;742.098;660;2260;8;100000;311;43.945;522;39.7533;127;0
20201021;356;31;30;64;8;685.847;692.247;742;0.0983333;742.098;758.098;660;2260;8;100000;312;43.945;523;39.7533;129;0
20201021;357;31;30;61;8;701.847;708.247;758;0.0983333;758.098;774.098;660;2260;8;100000;297;51.405;524;39.7533;123;0
20201021;358;32;31;27;8;552.444;556.768;600;0;600;616;600;2200;8;100000;54;0;525;33.2317;55;2
20201021;359;32;31;24;8;573.545;577.869;621.101;-5.10099;621.101;637.101;600;2200;8;100000;48;0;526;33.2317;49;2
20201021;360;33;32;22;8;792.444;796.768;840;0;840;856;840;2440;8;100000;374;41.24;527;33.2317;45;2
20201021;361;33;32;43;8;808.444;812.768;856;0;856;872;840;2440;8;100000;296;17.6917;528;33.2317;87;2
20201021;362;33;32;17;8;824.444;828.768;872;0;872;888;840;2440;8;100000;367;41.24;529;33.2317;35;2
20201021;363;33;32;73;11;838.822;844.768;888;0;888;910;840;2440;12;100000;310;19.3417;530;33.2317;147;2
20201021;365;34;33;0;8;372.295;377.628;420;0;420;436;420;2020;8;100000;0;0;532;32.3717;493;5
20201021;366;34;33;16;8;366.962;372.295;414.667;21.3333;436;452;420;2020;8;100000;32;0;533;32.3717;511;5
20201021;367;34;33;17;8;410.52;415.853;458.225;-6.225;458.225;474.225;420;2020;8;100000;34;0;534;32.3717;529;5
20201021;368;34;33;15;8;415.853;421.187;463.558;10.6667;474.225;490.225;420;2020;8;100000;30;0;535;32.3717;510;5
20201021;369;34;33;75;12;451.853;459.853;502.225;-12;502.225;526.225;420;2020;12;100000;304;17.6683;536;32.3717;151;5
20201021;370;34;33;14;8;494.285;499.618;541.99;-15.765;541.99;557.99;420;2020;8;100000;349;16.285;537;32.3717;512;5
20201021;371;34;33;20;8;503.853;509.187;551.558;6.43167;557.99;573.99;420;2020;8;100000;305;13.52;538;32.3717;41;5
20201021;372;34;33;19;8;519.853;525.187;567.558;6.43167;573.99;589.99;420;2020;8;100000;351;16.285;539;32.3717;513;5
20201021;373;34;33;18;8;538.52;543.853;586.225;3.765;589.99;605.99;420;2020;8;100000;348;16.285;540;32.3717;37;5
20201021;374;34;33;22;8;557.295;562.628;605;0.99;605.99;621.99;420;2020;8;100000;44;18.9217;541;32.3717;527;5
20201021;375;34;33;0;8;582.285;587.618;629.99;-8;629.99;645.99;420;2020;8;100000;326;16.285;542;32.3717;1;5
20201021;376;34;33;65;8;606.285;611.618;653.99;-8;653.99;669.99;420;2020;8;100000;328;16.285;543;32.3717;131;5
20201021;377;34;33;1;8;621.295;626.628;669;0.99;669.99;685.99;420;2020;8;100000;327;16.285;544;32.3717;470;5
20201021;379;35;34;50;8;1360.33;1367.19;1380;0;1380;1396;1380;2980;8;100000;100;0;546;2.81333;568;4
20201021;380;35;34;49;8;1376.33;1383.19;1396;0;1396;1412;1380;2980;8;100000;393;1.09;547;2.81333;550;4
20201021;381;35;34;11;8;1392.33;1399.19;1412;0;1412;1428;1380;2980;8;100000;392;1.09;548;2.81333;23;4
20201021;382;35;34;48;8;1408.33;1415.19;1428;0;1428;1444;1380;2980;8;100000;398;3.16;549;2.81333;97;4
20201021;383;35;34;49;3;1428.62;1431.19;1444;0;1444;1450;1380;2980;8;100000;380;3.16;550;2.81333;99;4
20201021;384;36;35;10;8;462.053;468.91;480;0;480;496;480;2080;8;100000;20;0;551;1.09;489;4
20201021;385;36;35;6;8;478.053;484.91;496;0;496;512;480;2080;8;100000;12;0;552;1.09;508;4
20201021;386;36;35;47;8;494.053;500.91;512;0;512;528;480;2080;8;100000;94;0;553;1.09;488;4
20201021;387;36;35;48;8;510.053;516.91;528;0;528;544;480;2080;8;100000;96;0;554;1.09;565;4
20201021;388;36;35;51;8;526.053;532.91;544;0;544;560;480;2080;8;100000;102;0;555;1.09;506;4
20201021;389;36;35;66;8;542.053;548.91;560;0;560;576;480;2080;8;100000;132;0;556;1.09;473;4
20201021;390;36;35;9;8;558.053;564.91;576;0;576;592;480;2080;8;100000;18;0;557;1.09;487;4
20201021;391;36;35;52;8;574.053;580.91;592;0;592;608;480;2080;8;100000;104;0;558;1.09;507;4
20201021;392;36;35;11;8;590.053;596.91;608;0;608;624;480;2080;8;100000;22;0;559;1.09;548;4
20201021;393;36;35;49;1;612.053;612.91;624;0;624;626;480;2080;8;100000;98;0;560;1.09;547;4
20201021;394;37;36;30;8;438.252;443.769;469.058;10.9422;480;496;480;2080;8;100000;60;0;561;15.2883;61;3
20201021;395;37;36;31;8;465.287;470.804;496.092;-0.0922414;496.092;512.092;480;2080;8;100000;62;0;562;15.2883;63;3
20201021;396;37;36;44;5;483.263;486.712;512;0.0922414;512.092;522.092;480;2080;8;100000;88;0;563;15.2883;89;3
20201021;397;38;37;67;3;599.543;600.877;630;0;630;636;630;2230;12;100000;410;7.78667;564;19.1233;135;1
20201021;398;39;38;48;8;1353.47;1360.33;1373.14;6.85714;1380;1396;1380;2980;8;100000;387;1.09;565;2.81333;549;4
20201021;399;39;38;45;8;1383.19;1390.04;1402.86;-6.85714;1402.86;1418.86;1380;2980;8;100000;316;3.57833;566;2.81333;91;4
20201021;400;39;38;53;8;1369.47;1376.33;1389.14;29.7143;1418.86;1434.86;1380;2980;8;100000;315;3.57833;567;2.81333;569;4
20201021;401;39;38;50;8;1415.19;1422.04;1434.86;0;1434.86;1450.86;1380;2980;8;100000;379;3.16;568;2.81333;101;4
20201021;402;39;38;53;3;1448.02;1450.59;1463.4;-12.5448;1463.4;1469.4;1380;2980;8;100000;400;3.16;569;2.81333;107;4
20201021;403;40;39;40;1;804.144;804.588;826;0.495;826.495;828.495;445;2045;8;100000;442;8.45667;570;11.4117;621;1
20201021;404;41;39;71;12;418.255;423.588;445;0;445;469;445;2045;12;100000;142;0;571;11.4117;608;1
20201021;405;41;39;21;8;444.033;447.588;469;0;469;485;445;2045;8;100000;42;0;572;11.4117;612;1
20201021;406;41;39;35;8;460.033;463.588;485;0;485;501;445;2045;8;100000;70;0;573;11.4117;614;1
20201021;407;41;39;4;8;476.033;479.588;501;0;501;517;445;2045;8;100000;8;0;574;11.4117;622;1
20201021;408;41;39;72;12;490.255;495.588;517;0;517;541;445;2045;12;100000;144;0;575;11.4117;502;1
20201021;409;41;39;8;8;516.033;519.588;541;0;541;557;445;2045;8;100000;430;8.45667;576;11.4117;611;1
20201021;410;41;39;67;12;530.255;535.588;557;0;557;581;445;2045;12;100000;134;0;577;11.4117;564;1
20201021;411;41;39;12;8;556.033;559.588;581;0;581;597;445;2045;8;100000;431;8.45667;578;11.4117;610;1
20201021;412;41;39;38;8;572.033;575.588;597;0;597;613;445;2045;8;100000;76;0;579;11.4117;607;1
20201021;413;41;39;37;8;589.755;593.311;614.722;-1.72222;614.722;630.722;445;2045;8;100000;74;0;580;11.4117;500;1
20201021;414;41;39;5;8;605.755;609.311;630.722;0;630.722;646.722;445;2045;8;100000;434;8.45667;581;11.4117;618;1
20201021;415;41;39;40;8;621.033;624.588;646;0.722222;646.722;662.722;445;2045;8;100000;80;0;582;11.4117;609;1
20201021;416;41;39;34;8;637.033;640.588;662;0.722222;662.722;678.722;445;2045;8;100000;436;8.45667;583;11.4117;591;1
20201021;417;41;39;13;8;653.033;656.588;678;0.722222;678.722;694.722;445;2045;8;100000;428;8.45667;584;11.4117;613;1
20201021;418;41;39;41;8;669.033;672.588;694;0.722222;694.722;710.722;445;2045;8;100000;437;8.45667;585;11.4117;620;1
20201021;419;41;39;70;12;683.255;688.588;710;0.722222;710.722;734.722;445;2045;12;100000;435;8.45667;586;11.4117;461;1
20201021;420;41;39;36;8;709.033;712.588;734;0.722222;734.722;750.722;445;2045;8;100000;439;8.45667;587;11.4117;501;1
20201021;421;41;39;68;12;729.75;735.083;756.495;-5.77278;756.495;780.495;445;2045;12;100000;432;8.45667;588;11.4117;615;1
20201021;422;41;39;39;8;755.033;758.588;780;0.495;780.495;796.495;445;2045;8;100000;433;8.45667;589;11.4117;619;1
20201021;423;41;39;42;8;771.033;774.588;796;0.495;796.495;812.495;445;2045;8;100000;438;8.45667;590;11.4117;617;1
20201021;424;41;39;34;7;787.477;790.588;812;0.495;812.495;826.495;445;2045;8;100000;416;7.78667;591;11.4117;616;1
20201021;428;42;40;13;1;398.681;399.125;420;0;420;422;420;2020;8;100000;26;0;595;10.875;584;1
20201021;429;43;40;69;12;399.125;404.458;425.333;-3.33333;425.333;449.333;420;2020;12;100000;138;0;596;10.875;504;1
20201021;430;43;40;8;8;424.569;428.125;449;0.333333;449.333;465.333;420;2020;8;100000;16;0;597;10.875;576;1
20201021;431;43;40;12;8;440.477;444.033;464.908;0.425556;465.333;481.333;420;2020;8;100000;24;0;598;10.875;578;1
20201021;432;43;40;68;12;463.588;468.922;489.797;-8.46333;489.797;513.797;420;2020;12;100000;136;0;599;10.875;588;1
20201021;433;43;40;39;8;495.588;499.144;520.019;-6.22222;520.019;536.019;420;2020;8;100000;78;0;600;10.875;589;1
20201021;434;43;40;5;8;511.569;515.125;536;0.0188889;536.019;552.019;420;2020;8;100000;10;0;601;10.875;581;1
20201021;435;43;40;70;12;524.922;530.255;551.13;0.888889;552.019;576.019;420;2020;12;100000;140;0;602;10.875;586;1
20201021;436;43;40;34;8;551.569;555.125;576;0.0188889;576.019;592.019;420;2020;8;100000;68;0;603;10.875;583;1
20201021;437;43;40;41;8;567.569;571.125;592;0.0188889;592.019;608.019;420;2020;8;100000;82;0;604;10.875;585;1
20201021;438;43;40;42;8;593.311;596.866;617.741;-9.72222;617.741;633.741;420;2020;8;100000;84;0;605;10.875;590;1
20201021;439;43;40;36;8;609.311;612.866;633.741;0;633.741;649.741;420;2020;8;100000;72;0;606;10.875;587;1
20201021;440;43;40;38;8;630.787;634.342;655.217;-5.47611;655.217;671.217;420;2020;8;100000;412;7.78667;607;10.875;77;1
20201021;441;43;40;71;12;644.792;650.125;671;0.217222;671.217;695.217;420;2020;12;100000;404;7.78667;608;10.875;143;1
20201021;442;43;40;40;8;688.588;692.144;713.019;-17.8017;713.019;729.019;420;2020;8;100000;415;7.78667;609;10.875;570;1
20201021;443;43;40;12;8;704.569;708.125;729;0.0188889;729.019;745.019;420;2020;8;100000;411;7.78667;610;10.875;25;1
20201021;444;43;40;8;8;735.083;738.639;759.514;-14.495;759.514;775.514;420;2020;8;100000;409;7.78667;611;10.875;17;1
20201021;445;43;40;21;8;758.588;762.144;783.019;-7.505;783.019;799.019;420;2020;8;100000;405;7.78667;612;10.875;43;1
20201021;446;43;40;13;8;774.588;778.144;799.019;0;799.019;815.019;420;2020;8;100000;417;7.78667;613;10.875;27;1
20201021;447;43;40;35;8;790.588;794.144;815.019;0;815.019;831.019;420;2020;8;100000;406;7.78667;614;10.875;71;1
20201021;448;43;40;68;12;804.792;810.125;831;0.0188889;831.019;855.019;420;2020;12;100000;421;7.78667;615;10.875;623;1
20201021;449;43;40;34;8;844.282;847.837;868.712;-13.6933;868.712;884.712;420;2020;8;100000;424;7.78667;616;10.875;69;1
