Name;UB;CP;Gap;CP_Time;Heuristic;Gap;Heuristic_Time
B_6_20_1;805;725;9.9;600;635;21.1;431
B_6_20_2;855;690;19.3;600;600;29.8;103
B_6_20_3;760;680;10.5;600;650;14.5;48
B_6_20_4;705;615;12.8;600;595;15.6;52
B_6_30_1;1300;845;35;600;680;47.7;281
B_6_30_2;1140;845;25.9;600;765;32.9;160
B_6_30_3;1060;695;34.4;600;635;40.1;262
B_6_30_4;1000;625;37.5;600;500;50;354
B_6_40_1;1545;850;45;600;710;54;1359
B_6_40_2;1635;1015;37.9;600;765;53.2;534
B_6_40_3;1570;685;56.4;600;625;60.2;2266
B_6_40_4;1450;795;45.2;600;635;56.2;850
B_6_50_1;1890;1030;45.5;600;805;57.4;1869
B_6_50_2;2250;900;60;600;660;70.7;1687
B_6_50_3;1740;920;47.1;600;640;63.2;1767
B_6_50_4;2080;980;52.9;600;775;62.7;2551
B_8_20_1;935;920;1.6;600;825;11.8;44
B_8_20_2;865;830;4;600;790;8.7;55
B_8_20_3;655;655;0;77.476;620;5.3;36
B_8_20_4;820;820;0;312;820;0;80
B_8_30_1;1085;930;14.3;600;785;27.6;250
B_8_30_2;1115;1005;9.9;600;890;20.2;280
B_8_30_3;1155;970;16;600;885;23.4;555
B_8_30_4;1320;1120;15.2;600;930;29.5;410
B_8_40_1;1665;1120;32.7;600;1035;37.8;1351
B_8_40_2;1415;1185;16.3;600;1055;25.4;773
B_8_40_3;1495;980;34.4;600;815;45.5;1087
B_8_40_4;1730;1100;36.4;600;915;47.1;1024
B_8_50_1;1980;1125;43.2;600;935;52.8;5810
B_8_50_2;1935;1160;40.1;600;955;50.6;4615
B_8_50_3;1960;1145;41.6;600;1015;48.2;3623
B_8_50_4;1835;1015;44.7;600;855;53.4;4024
B_10_20_1;805;805;0;24.814;765;5;36
B_10_20_2;825;825;0;415.312;785;4.8;28
B_10_20_3;730;730;0;361;730;0;30
B_10_20_4;765;765;0;383;765;0;29
B_10_30_1;1215;885;27.2;600;845;30.5;459
B_10_30_2;1355;1115;17.7;600;1045;22.9;447
B_10_30_3;1210;1130;6.6;600;1080;10.7;327
B_10_30_4;1235;1135;8.1;600;1075;13;383
B_10_40_1;1475;1210;18;600;1075;27.1;1086
B_10_40_2;1580;1500;5.1;600;1365;13.6;1295
B_10_40_3;1605;1365;15;600;1185;26.2;1235
B_10_40_4;1455;1345;7.6;600;1215;16.5;1353
B_10_50_1;2265;1420;37.3;600;1300;42.6;3394
B_10_50_2;1900;1040;45.3;600;890;53.2;5223
B_10_50_3;2005;1195;40.4;600;970;51.6;3597
B_10_50_4;1925;1390;27.8;600;1160;39.7;4719
B_12_20_1;770;770;0;260;770;0;15
B_12_20_2;770;770;0;502;770;0;33
B_12_20_3;945;890;5.8;600;880;6.9;64
B_12_20_4;850;850;0;576;850;0;71
B_12_30_1;1320;1200;9.1;600;1155;12.5;324
B_12_30_2;1185;1185;0;913;1175;0.8;168
B_12_30_3;950;950;0;46.56;915;3.7;209
B_12_30_4;1185;1165;1.7;600;1140;3.8;327
B_12_40_1;1475;1340;9.2;600;1315;10.8;481
B_12_40_2;1510;1305;13.6;600;1275;15.6;903
B_12_40_3;1640;1265;22.9;600;1120;31.7;1713
B_12_40_4;1550;1280;17.4;600;1160;25.2;2258
B_12_50_1;1755;1470;16.2;600;1420;19.1;3408
B_12_50_2;2000;1390;30.5;600;1245;37.8;7886
B_12_50_3;1825;1435;21.4;600;1415;22.5;6029
B_12_50_4;1940;1670;13.9;600;1420;26.8;4249
B_14_20_1;830;830;0;666;830;0;15
B_14_20_2;695;695;0;536;695;0;15
B_14_20_3;840;840;0;633;840;0;40
B_14_20_4;755;755;0;570;755;0;17
B_14_30_1;1190;1190;0;3690;1140;4.2;275
B_14_30_2;1370;1315;4;600;1290;5.8;261
B_14_30_3;1005;1005;0;551;1005;0;109
B_14_30_4;1205;1205;0;1579;1205;0;207
B_14_40_1;1395;1395;0;4612;1385;0.7;355
B_14_40_2;1725;1380;20;600;1275;26.1;1929
B_14_40_3;1550;1550;0;64.809;1460;5.8;433
B_14_40_4;1705;1635;4.1;600;1560;8.5;1289
B_14_50_1;2285;1800;21.2;600;1685;26.3;3747
B_14_50_2;2015;1750;13.2;600;1645;18.4;8700
B_14_50_3;2095;1785;14.8;600;1630;22.2;5462
B_14_50_4;2095;1500;28.4;600;1350;35.6;9086
B_16_20_1;905;905;0;882;905;0;17
B_16_20_2;805;805;0;748;805;0;24
B_16_20_3;915;915;0;908;915;0;21
B_16_20_4;875;875;0;812;875;0;42
B_16_30_1;1305;1305;0;120.612;1260;3.4;317
B_16_30_2;1175;1175;0;6503;1160;1.3;534
B_16_30_3;1105;1105;0;1363;1105;0;114
B_16_30_4;1090;1035;5;600;1005;7.8;569
B_16_40_1;1340;1340;0;1132;1340;0;138
B_16_40_2;1580;1410;10.8;600;1385;12.3;1419
B_16_40_3;1600;1490;6.9;600;1455;9.1;2024
B_16_40_4;1615;1615;0;3596;1605;0.6;1518
B_16_50_1;2090;1835;12.2;600;1735;17;2086
B_16_50_2;1930;1775;8;600;1705;11.7;1169
B_16_50_3;2010;1860;7.5;600;1760;12.4;2163
B_16_50_4;1980;1915;3.3;600;1850;6.6;2831
B_18_20_1;820;820;0;935;820;0;24
B_18_20_2;740;740;0;799;740;0;16
B_18_20_3;775;775;0;704;775;0;15
B_18_20_4;840;840;0;900;840;0;17
B_18_30_1;1080;1080;0;1727;1080;0;159
B_18_30_2;1205;1205;0;2009;1205;0;66
B_18_30_3;1155;1155;0;1683;1155;0;77
B_18_30_4;1125;1125;0;1784;1125;0;60
B_18_40_1;1670;1670;0;4303;1670;0;633
B_18_40_2;1635;1635;0;2409;1635;0;363
B_18_40_3;1610;1610;0;3895;1610;0;539
B_18_40_4;1655;1525;7.9;600;1490;10;1493
B_18_50_1;1795;1795;0;586.397;1740;3.1;3333
B_18_50_2;1930;1685;12.7;600;1630;15.5;9162
B_18_50_3;2005;1970;1.7;600;1920;4.2;2101
B_18_50_4;1795;1795;0;10.385;1755;2.2;1498
B_20_20_1;875;875;0;593;875;0;17
B_20_20_2;770;770;0;452;770;0;19
B_20_20_3;980;980;0;1296;980;0;19
B_20_20_4;765;765;0;916;765;0;16
B_20_30_1;1250;1250;0;2247;1250;0;71
B_20_30_2;1325;1325;0;2627;1325;0;178
B_20_30_3;1205;1205;0;2337;1205;0;91
B_20_30_4;1245;1245;0;2330;1245;0;84
B_20_40_1;1695;1625;4.1;600;1615;4.7;1535
B_20_40_2;1725;1725;0;25.317;1710;0.9;765
B_20_40_3;1540;1510;1.9;600;1490;3.2;499
B_20_40_4;1530;1530;0;4043;1530;0;182
B_20_50_1;2075;2075;0;309.753;2055;1;1896
B_20_50_2;1825;1575;13.7;600;1495;18.1;5757
B_20_50_3;1825;1825;0;7912;1825;0;1251
B_20_50_4;1890;1890;0;2895;1890;0;1159
