Date;Heure;Probleme;Name;grasp;Travel;Driver;runtime
2023-5-27;8:8:40;cdp;A_2_15_1;215;246.00;2;919
2023-5-27;8:8:41;cdp;A_2_15_4;255;360.00;2;1613
2023-5-27;8:8:41;cdp;A_2_15_3;180;539.00;2;1873
2023-5-27;8:8:41;cdp;A_2_20_1;255;374.00;2;2421
2023-5-27;8:8:42;cdp;A_2_10_4;150;319.00;2;630
2023-5-27;8:8:42;cdp;A_2_10_2;110;196.00;2;307
2023-5-27;8:8:42;cdp;A_2_15_2;290;438.00;2;2751
2023-5-27;8:8:42;cdp;A_2_10_1;50;199.00;2;457
2023-5-27;8:8:43;cdp;A_2_10_3;220;393.00;2;1706
2023-5-27;8:8:48;cdp;A_2_20_2;270;498.00;2;5433
2023-5-27;8:11:58;cdp;B_10_20_4;765;1872.00;10;6609
2023-5-27;8:12:14;cdp;B_10_20_1;765;1393.00;10;21383
2023-5-27;8:12:16;cdp;B_10_20_3;730;1702.00;10;23776
2023-5-27;8:12:26;cdp;B_10_20_2;770;1997.00;10;33454
2023-5-27;8:14:41;cdp;B_10_30_4;1025;2515.00;10;166363
2023-5-27;8:14:57;cdp;B_10_30_3;1040;2451.00;10;185209
2023-5-27;8:15:3;cdp;B_12_20_1;770;1838.00;12;574
2023-5-27;8:15:14;cdp;B_12_20_2;770;2159.00;12;11926
2023-5-27;8:15:37;cdp;B_12_20_4;820;3224.00;12;34890
2023-5-27;8:15:51;cdp;B_10_30_2;1065;2867.00;10;237774
2023-5-27;8:16:20;cdp;B_12_20_3;850;2626.00;12;71890
2023-5-27;8:16:28;cdp;B_10_30_1;875;2824.00;10;276919
2023-5-27;8:17:1;cdp;B_10_40_1;1140;2606.00;10;308593
2023-5-27;8:17:18;cdp;B_10_40_2;1410;2573.00;10;325117
2023-5-27;8:19:11;cdp;B_12_30_2;1165;2121.00;12;54019
2023-5-27;8:20:16;cdp;B_12_30_4;1100;3269.00;12;123969
2023-5-27;8:20:36;cdp;B_10_40_4;1225;2366.00;10;332363
2023-5-27;8:21:24;cdp;A_2_5_3;105;191.00;2;216
2023-5-27;8:21:25;cdp;A_2_5_2;160;179.00;2;211
2023-5-27;8:21:25;cdp;B_12_30_3;880;2374.00;12;192802
2023-5-27;8:21:26;cdp;A_3_10_1;185;356.00;3;358
2023-5-27;8:21:27;cdp;A_3_10_2;200;367.00;3;911
2023-5-27;8:21:27;cdp;A_3_10_3;280;262.00;3;1488
2023-5-27;8:21:27;cdp;A_2_5_1;85;186.00;2;115
2023-5-27;8:21:31;cdp;B_10_40_3;1300;2504.00;10;387401
2023-5-27;8:21:32;cdp;A_2_20_3;260;487.00;2;4324
2023-5-27;8:21:35;cdp;A_2_5_4;105;172.00;2;74
2023-5-27;8:21:35;cdp;A_2_20_4;345;349.00;2;8139
2023-5-27;8:21:37;cdp;A_3_10_4;300;577.00;3;763
2023-5-27;8:22:7;cdp;B_12_30_1;1140;2972.00;12;236126
