Name,Depot,QUANTITY,d1,GES_CQ,distanceCost,GES,Ecart
20201121,1,226.5,1010.16,73641.97,958.35,69864.95,5.13
20201010,1,267.0,543.05,46667.88,523.46,44984.38,3.61
20201107,2,333.5,555.13,59587.83,471.47,50607.74,15.07
20201031,2,375.0,789.85,95332.92,705.17,85112.26,10.72
20201114,2,388.0,1566.6,195639.64,1400.15,174853.08,10.62
20201003,3,651.5,3963.57,831128.09,3585.1,751766.04,9.55
20201128,3,776.0,1753.81,438037.48,1669.61,417007.4,4.8
20201017,2,819.0,3412.68,899593.85,3228.85,851135.64,5.39
20201024,3,957.5,4032.4,1242708.86,3831.81,1180890.85,4.97
20201021,6,1164.5,5248.19,1967052.94,4960.64,1859277.49,5.48
20201013,8,1565.0,7817.02,3937518.18,7003.12,3527547.88,10.41
20201109,7,1746.5,11997.33,6744041.0,11668.0,6558915.22,2.75
20201026,8,1839.5,11664.77,6906260.87,10797.1,6392546.9,7.44
20201016,8,2060.0,10108.5,6702254.93,9778.65,6483553.96,3.26
20201125,7,2425.0,16840.4,13144109.02,17091.5,13340095.21,-1.49
20201007,8,2512.5,12895.93,10428593.62,13762.7,11129527.34,-6.72
20201123,7,2595.0,17302.91,14451852.42,17308.9,14456855.43,-0.03
20201020,8,2638.0,15371.02,13051020.92,14428.9,12251098.22,6.13
20201124,8,2685.5,14660.01,12671453.38,13010.1,11245345.38,11.25
20201116,7,2939.5,18638.27,17633806.47,19108.1,18078316.15,-2.52
20201002,8,2951.5,16603.54,15772861.41,15327.0,14560186.97,7.69
20201126,7,2971.0,19144.53,18306881.38,17827.6,17047572.26,6.88
20201019,8,3009.5,18578.13,17995476.56,18340.9,17765686.64,1.28
20201001,7,3078.0,18105.1,17936452.44,17164.5,17004614.06,5.2
20201102,8,3078.5,20914.84,20723385.76,19106.0,18931103.87,8.65
20201028,7,3089.5,20494.57,20379523.12,20475.3,20360361.29,0.09
20201127,7,3129.5,17690.76,17819210.31,16590.1,16710558.56,6.22
20201005,8,3190.0,18297.93,18787095.88,17827.8,18304397.71,2.57
20201009,8,3229.0,16253.18,16891701.45,15630.2,16244247.1,3.83
20201117,7,3288.5,20411.57,21604352.96,20473.9,21670325.31,-0.31
20201106,8,3350.5,19153.16,20654613.18,17732.2,19122261.38,7.42
20201120,8,3401.5,20026.68,21925345.25,19127.9,20941354.8,4.49
20201022,8,3428.5,23215.51,25618245.87,21739.3,23989252.55,6.36
20201111,8,3437.5,20668.71,22867731.56,20783.8,22995066.42,-0.56
20201119,8,3447.5,19990.74,22181971.99,19610.5,21760052.99,1.9
20201014,8,3471.0,20080.9,22433900.74,19932.1,22267664.95,0.74
20201110,8,3499.5,19088.84,21500697.18,19068.7,21478012.51,0.11
20201030,8,3524.0,18131.83,20565749.67,17686.8,20060981.23,2.45
20201118,8,3541.0,18752.94,21372843.11,17872.6,20369514.1,4.69
20201027,8,3592.0,21068.94,24358246.51,20893.1,24154954.17,0.83
20201112,8,3684.5,20557.88,24379449.48,19482.9,23104638.04,5.23
20201006,8,3749.5,22024.48,26579452.35,21191.9,25574683.09,3.78
20201023,8,3837.5,20907.92,25824161.27,21569.5,26641303.7,-3.16
20201029,8,3943.5,21145.69,26839270.86,20193.4,25630572.1,4.5
20201104,8,3953.5,22082.54,28099447.18,22396.9,28499461.96,-1.42
20201103,8,4042.5,21774.19,28330813.41,21819.8,28390157.45,-0.21
20201105,8,4080.0,21619.3,28390222.62,19840.7,26054585.02,8.23
