Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH;NO_SHIFT_LIMIT;TIME_LIMIT
2023-8-20;2:33:53;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;586613;120;20;25;60;0;0;3600000
2023-8-20;2:34:0;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;125.635;0;2;593503;120;20;25;60;0;0;3600000
2023-8-20;2:35:11;cq;20201114;388;0;1731.48;1405.99;8.02667;7.87024;0;19;281.217;0;2;664254;120;20;25;60;0;0;3600000
2023-8-20;2:40:25;cq;20201031;375;0;1015.38;703.456;0;0;0;15;107.588;0;2;978808;120;20;25;60;0;0;3600000
2023-8-20;2:41:5;cq;20201003;613.5;0;3639.12;3684.22;60.3017;39.575;0;29;210.973;437.423;3;1018389;120;20;25;60;0;0;3600000
2023-8-20;2:47:26;cq;20201121;226.5;0;1243.55;958.349;6.1319;6.1319;0;13;0;0;1;1390044;120;20;25;60;0;0;3600000
2023-8-20;3:2:2;cq;20201021;1160.5;0;5967.32;5459.91;92.2417;28.3683;0;72;2023.09;224.986;6;2256299;120;20;25;60;0;0;3600000
2023-8-20;3:7:38;cq;20201121;226.5;0;1243.55;958.349;6.1319;6.1319;0;13;0;0;1;548466;120;20;25;60;0;0;3600000
2023-8-20;3:8:16;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;569476;120;20;25;60;0;0;3600000
2023-8-20;3:8:41;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;136.691;0;2;589248;120;20;25;60;0;0;3600000
2023-8-20;3:9:35;cq;20201114;388;0;1728.92;1404.45;8.02667;7.87024;0;19;354.034;0;2;635552;120;20;25;60;0;0;3600000
2023-8-20;3:14:42;cq;20201031;375;0;1016.51;704.028;0;0;0;15;281.743;0;2;947639;120;20;25;60;0;0;3600000
2023-8-20;3:15:41;cq;20201003;613.5;0;3589.66;3589.97;60.3017;39.575;0;29;243.485;270.015;3;991351;120;20;25;60;0;0;3600000
2023-8-20;3:24:12;cq;20201128;776;0;2875.73;2258.9;0.813333;0.813333;0;31;519.665;778.859;3;3605245;120;20;25;60;0;0;3600000
2023-8-20;3:24:31;cq;20201024;937.5;0;4224.04;3927.98;1.04667;0.993333;0;35;207.633;1509.33;3;3604450;120;20;25;60;0;0;3600000
