Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH;NO_SHIFT_LIMIT;TIME_LIMIT
2023-8-19;23:11:50;cq;20201013;1553;12;8379.11;7799.5;139.852;29.6517;0;101;3629.34;208.777;8;64612;120;20;25;60;1;0;60000
2023-8-19;23:11:53;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;67262;120;20;25;60;1;0;60000
2023-8-19;23:11:55;cq;20201031;375;0;1036.71;721.191;0;0;0;15;294.285;166.782;2;68726;120;20;25;60;1;0;60000
2023-8-19;23:11:56;cq;20201021;1160.5;0;5868.67;5370;107.074;41.0716;0;67;3569.56;1150.32;6;70264;120;20;25;60;1;0;60000
2023-8-19;23:11:56;cq;20201121;226.5;0;1243.55;958.349;13;13;0;13;94.7829;18.5017;1;70465;120;20;25;60;1;0;60000
2023-8-19;23:11:56;cq;20201130;2303.5;24;14288.7;12750;555.543;56.5986;0;116;1302.98;1836.35;6;70719;120;20;25;60;1;0;60000
2023-8-19;23:11:58;cq;20201007;2512.5;0;14346.8;13063.7;207.692;47.3233;0;127;1614.15;1200.82;8;72260;120;20;25;60;1;0;60000
2023-8-19;23:11:59;cq;20201026;1839.5;0;13811.9;12977.2;204.201;59.3967;0;115;1379.57;1148.03;8;73409;120;20;25;60;1;0;60000
2023-8-19;23:12:1;cq;20201114;388;0;1711.63;1384.29;9.41548;8.41548;20;18;239.193;234.467;2;74977;120;20;25;60;1;0;60000
2023-8-19;23:12:1;cq;20201016;2051;9;11019.1;10190.8;468.24;54.0765;0;114;2278.24;1113.3;8;75083;120;20;25;60;1;0;60000
2023-8-19;23:12:3;cq;20201125;2322;103;16852.6;15401.5;701.732;52.4883;0;137;2182.57;1291.05;7;77850;120;20;25;60;1;0;60000
2023-8-19;23:12:5;cq;20201109;1711.5;35;12653.7;11635.3;444.706;51.4117;0;94;1698;799.212;7;79860;120;20;25;60;1;0;60000
2023-8-19;23:12:6;cq;20201107;333.5;0;780.285;495.909;3;3;0;18;218.703;0;2;79982;120;20;25;60;1;0;60000
2023-8-19;23:12:15;cq;20201003;613.5;0;3619.86;3607.89;61.1017;45.175;17;29;100.103;618.713;3;89052;120;20;25;60;1;0;60000
2023-8-19;23:12:48;cq;20201024;937.5;0;4182.24;3791.25;7.89333;4.55833;0;35;302.562;1454.51;3;123009;120;20;25;60;1;0;60000
2023-8-19;23:12:56;cq;20201116;2909;30.5;20818.7;19128.7;856.444;58.205;0;137;672.313;2924.72;7;67114;120;20;25;60;1;0;60000
2023-8-19;23:12:56;cq;20201106;3251;99.5;18851.3;17555.8;1193.34;59.223;0;141;1605.67;2396.14;8;67281;120;20;25;60;1;0;60000
2023-8-19;23:12:57;cq;20201123;2542.5;52.5;18333.7;16922.9;823.233;59.7133;0;128;908.852;1590.4;7;68655;120;20;25;60;1;0;60000
2023-8-19;23:13:1;cq;20201104;3860.5;93;23432.2;21903.1;1041.19;54.1067;0;148;637.957;3664.02;8;67254;120;20;25;60;1;0;60000
2023-8-19;23:13:4;cq;20201124;2607.5;78;15470;13772.8;582.897;59.5833;0;126;1671.88;2835.7;8;75191;120;20;25;60;1;0;60000
2023-8-19;23:13:7;cq;20201006;3685;54.5;23157.7;21702.6;874.966;57.1783;0;137;818.605;5434.11;8;72962;120;20;25;60;1;0;60000
