Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH;NO_SHIFT_LIMIT;TIME_LIMIT
2023-8-20;2:39:51;cq;20201114;388;0;1708.37;1379.3;0;0;14;18;0;0;2;3604534;99999999;5;25;60;1;1;3600000
2023-8-20;2:39:52;cq;20201107;333.5;0;780.285;495.909;0;0;0;18;0;0;2;3605832;99999999;5;25;60;1;1;3600000
2023-8-20;2:39:53;cq;20201010;267;0;745.097;523.463;0;0;0;12;0;0;1;3606366;99999999;5;25;60;1;1;3600000
2023-8-20;2:39:53;cq;20201003;613.5;0;3329.78;3318.53;0;0;0;28;0;0;3;3607213;99999999;5;25;60;1;1;3600000
2023-8-20;2:39:57;cq;20201031;375;0;1015.38;703.456;0;0;22;15;0;0;2;3610001;99999999;5;25;60;1;1;3600000
2023-8-20;2:39:58;cq;20201024;937.5;0;4033.12;3616.27;0;0;0;30;0;0;3;3608541;99999999;5;25;60;1;1;3600000
2023-8-20;2:40:0;cq;20201013;1565;0;8845.67;8263.03;12.2516;5.86722;13;98;0;0;8;3610282;99999999;5;25;60;1;1;3600000
2023-8-20;2:40:3;cq;20201116;2758.5;181;20627.8;19056.5;573.646;56.6967;0;137;0;0;7;3604362;99999999;5;25;60;1;1;3600000
2023-8-20;2:40:6;cq;20201109;1746.5;0;14044.6;12957.1;8.20931;3.03098;12;94;0;0;7;3617071;99999999;5;25;60;1;1;3600000
2023-8-20;2:40:11;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;0;0;1;3626079;99999999;5;25;60;1;1;3600000
2023-8-20;2:40:11;cq;20201016;2060;0;12169.4;11402.3;16.2689;15.2689;6;109;0;0;8;3619153;99999999;5;25;60;1;1;3600000
2023-8-20;2:40:12;cq;20201026;1839.5;0;12814.6;12071.3;2.73222;2.73222;0;109;0;0;8;3620172;99999999;5;25;60;1;1;3600000
2023-8-20;2:40:20;cq;20201128;776;0;2208.92;1610.29;0;0;0;27;0;0;3;3631032;99999999;5;25;60;1;1;3600000
2023-8-20;2:40:25;cq;20201123;2411.5;183.5;18041;16823.3;344.973;52.7783;0;128;0;0;7;3628921;99999999;5;25;60;1;1;3600000
2023-8-20;2:40:29;cq;20201124;2582;103.5;16873.1;15233.9;979.175;59.5093;0;123;0;0;8;3629922;99999999;5;25;60;1;1;3600000
