Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH;NO_SHIFT_LIMIT;TIME_LIMIT
2023-8-20;0:13:18;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;0;0;2;3604057;99999999;20;25;60;1;1;3600000
2023-8-20;0:13:20;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3605787;99999999;20;25;60;1;1;3600000
2023-8-20;0:13:26;cq;20201031;375;0;1013.11;702.313;0;0;0;15;0;0;2;3607608;99999999;20;25;60;1;1;3600000
2023-8-20;0:13:27;cq;20201114;388;0;1658.16;1339;0;0;0;17;0;0;2;3609293;99999999;20;25;60;1;1;3600000
2023-8-20;0:13:39;cq;20201024;937.5;0;3808.83;3424.04;0;0;9;27;0;0;3;3612900;99999999;20;25;60;1;1;3600000
2023-8-20;0:13:39;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;0;0;1;3623559;99999999;20;25;60;1;1;3600000
2023-8-20;0:13:50;cq;20201021;1160.5;0;5232.65;4699.3;0;0;0;69;0;0;6;3617326;99999999;20;25;60;1;1;3600000
2023-8-20;0:13:58;cq;20201013;1565;0;8234.18;7688.4;0;0;0;94;0;0;8;3606153;99999999;20;25;60;1;1;3600000
2023-8-20;0:14:6;cq;20201003;613.5;0;3273.84;3338.01;0;0;0;25;0;0;3;3640378;99999999;20;25;60;1;1;3600000
2023-8-20;0:14:12;cq;20201109;1746.5;0;12665.4;11621.6;0;0;0;92;0;0;7;3613500;99999999;20;25;60;1;1;3600000
2023-8-20;0:14:13;cq;20201026;1839.5;0;12219.2;11360.6;0;0;12;114;0;0;8;3611924;99999999;20;25;60;1;1;3600000
2023-8-20;0:14:25;cq;20201016;2060;0;10839.5;10024.6;0;0;0;109;0;0;8;3614726;99999999;20;25;60;1;1;3600000
2023-8-20;0:14:39;cq;20201125;2425;0;17249.5;15938.2;145.495;43.1733;0;127;0;0;7;3623347;99999999;20;25;60;1;1;3600000
2023-8-20;0:14:56;cq;20201007;2512.5;0;13578.8;12355.9;0;0;14;126;0;0;8;3638167;99999999;20;25;60;1;1;3600000
2023-8-20;0:15:4;cq;20201130;2327.5;0;14746.8;13216.7;16.0692;9.06923;15;117;0;0;6;3651153;99999999;20;25;60;1;1;3600000
2023-8-20;0:15:11;cq;20201123;2595;0;19125.3;17734.8;97.6267;52.55;9;122;0;0;7;3618500;99999999;20;25;60;1;1;3600000
2023-8-20;0:15:14;cq;20201111;3437.5;0;24001;22399.8;37.0138;7.60167;0;143;0;0;8;3617972;99999999;20;25;60;1;1;3600000
2023-8-20;0:15:16;cq;20201128;776;0;2219.94;1642.96;0;0;0;26;0;0;3;3710607;99999999;20;25;60;1;1;3600000
2023-8-20;0:15:16;cq;20201014;3471;0;21878.2;20628;27.8943;7.535;0;137;0;0;8;3606533;99999999;20;25;60;1;1;3600000
2023-8-20;0:15:20;cq;20201124;2685.5;0;16924.2;15114;72.4554;14.3067;0;125;0;0;8;3623055;99999999;20;25;60;1;1;3600000
2023-8-20;0:15:22;cq;20201102;3078.5;0;21498.6;20427.2;6.98833;6.98833;12;132;0;0;8;3623949;99999999;20;25;60;1;1;3600000
2023-8-20;0:15:23;cq;20201126;2971;0;20722.9;19398.6;752.637;59.791;0;133;0;0;7;3624733;99999999;20;25;60;1;1;3600000
2023-8-20;0:15:30;cq;20201009;3229;0;18208.3;16782.3;44.6233;13.4967;0;127;0;0;8;3634177;99999999;20;25;60;1;1;3600000
2023-8-20;0:15:36;cq;20201106;3350.5;0;21986.6;20611.9;111.889;47.7838;0;141;0;0;8;3640240;99999999;20;25;60;1;1;3600000
2023-8-20;0:15:51;cq;20201020;2673;0;16893.3;16099.2;55.315;17.6483;0;134;0;0;8;3654576;99999999;20;25;60;1;1;3600000
2023-8-20;0:15:59;cq;20201030;3513;0;21325.7;19601.9;160.387;54.4;0;144;0;0;8;3649218;99999999;20;25;60;1;1;3600000
2023-8-20;0:16:17;cq;20201118;3541;0;22888;21356.5;261.914;42.7781;0;139;0;0;8;3608520;99999999;20;25;60;1;1;3600000
2023-8-20;0:16:20;cq;20201120;3401.5;0;22855.3;20894.7;185.913;57.5024;0;136;0;0;8;3684337;99999999;20;25;60;1;1;3600000
2023-8-20;0:16:35;cq;20201110;3499.5;0;20332.6;18661.4;490.746;58.8533;0;139;0;0;8;3685506;99999999;20;25;60;1;1;3600000
2023-8-20;0:16:41;cq;20201116;2939.5;0;20621.7;18950.7;219.621;40.281;9;135;0;0;7;3702571;99999999;20;25;60;1;1;3600000
2023-8-20;0:17:2;cq;20201002;2893.5;0;18471.3;17304.9;38.9386;27.9279;13;126;0;0;8;3725496;99999999;20;25;60;1;1;3600000
2023-8-20;0:17:17;cq;20201112;3684.5;0;20793.4;19324.4;56.0045;24.9693;0;142;0;0;8;3611121;99999999;20;25;60;1;1;3600000
2023-8-20;0:17:25;cq;20201104;3953.5;0;26245.8;24858.9;383.842;52.695;0;148;0;0;8;3612163;99999999;20;25;60;1;1;3600000
2023-8-20;0:17:27;cq;20201029;3946.5;0;24506.1;22698;329.674;49.8067;0;150;0;0;8;3617303;99999999;20;25;60;1;1;3600000
2023-8-20;0:17:39;cq;20201006;3739.5;0;25218;23725.6;71.6595;15.7861;0;136;0;0;8;3629831;99999999;20;25;60;1;1;3600000
2023-8-20;0:17:57;cq;20201113;3670.5;0;23591.1;22153.2;132.354;51.4883;0;143;0;0;8;3653358;99999999;20;25;60;1;1;3600000
2023-8-20;0:37:17;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;0;0;1;3610808;99999999;20;25;60;1;1;3600000
2023-8-20;0:37:17;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3603949;99999999;20;25;60;1;1;3600000
2023-8-20;0:38:5;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;0;0;2;3612502;99999999;20;25;60;1;1;3600000
2023-8-20;0:39:4;cq;20201031;375;0;1014.25;702.885;0;0;0;15;0;0;2;3604687;99999999;20;25;60;1;1;3600000
2023-8-20;0:39:28;cq;20201024;937.5;0;3847.3;3456.73;0;0;0;30;0;0;3;3612623;99999999;20;25;60;1;1;3600000
2023-8-20;0:39:40;cq;20201114;388;0;1658.69;1342.37;0;0;0;18;0;0;2;3630786;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:0;cq;20201128;776;0;2274.45;1669.74;0;0;4;29;0;0;3;3648077;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:10;cq;20201021;1160.5;0;5316.36;4779.98;0;0;0;74;0;0;6;3606385;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:21;cq;20201007;2512.5;0;13592.5;12385.1;0;0;0;127;0;0;8;3606213;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:23;cq;20201026;1839.5;0;11641.4;10861.2;0;0;4;109;0;0;8;3608028;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:36;cq;20201016;2060;0;10697.1;9868.15;0;0;0;107;0;0;8;3619265;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:40;cq;20201124;2685.5;0;16658.5;15010.9;39.4179;12.5133;14;124;0;0;8;3625367;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:41;cq;20201130;2327.5;0;14059.8;12587.3;26.9225;19.2003;0;113;0;0;6;3626539;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:44;cq;20201123;2595;0;18554.8;17200.4;43.4327;18.9717;33;124;0;0;7;3629488;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:48;cq;20201020;2673;0;17610.5;16893.3;23.1211;16.315;0;132;0;0;8;3633679;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:50;cq;20201003;613.5;0;3240.4;3310.52;0;0;21;25;0;0;3;3698046;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:53;cq;20201126;2971;0;21179.3;19927;359.801;59.7782;0;132;0;0;7;3613625;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:56;cq;20201116;2939.5;0;21777;20142.3;251.836;57.2967;0;136;0;0;7;3617342;99999999;20;25;60;1;1;3600000
2023-8-20;0:40:59;cq;20201002;2893.5;0;18168.5;16931.4;19.1183;11.4817;7;129;0;0;8;3628117;99999999;20;25;60;1;1;3600000
2023-8-20;0:41:5;cq;20201102;3078.5;0;22408.1;21473.4;10.3939;5.335;0;131;0;0;8;3611010;99999999;20;25;60;1;1;3600000
2023-8-20;0:41:6;cq;20201109;1746.5;0;12734.8;11664.3;0;0;0;93;0;0;7;3651853;99999999;20;25;60;1;1;3600000
2023-8-20;0:41:22;cq;20201125;2425;0;17722.7;16351.3;107.075;35.905;0;131;0;0;7;3668080;99999999;20;25;60;1;1;3600000
2023-8-20;0:41:34;cq;20201013;1565;0;8209.6;7615.67;0;0;17;91;0;0;8;3671737;99999999;20;25;60;1;1;3600000
2023-8-20;0:41:41;cq;20201009;3229;0;18595.2;17232.1;27.956;15.701;12;126;0;0;8;3625541;99999999;20;25;60;1;1;3600000
2023-8-20;0:42:11;cq;20201106;3350.5;0;21273.5;19936.7;177.574;58.8783;0;140;0;0;8;3626960;99999999;20;25;60;1;1;3600000
2023-8-20;0:42:13;cq;20201111;3437.5;0;22940.1;21286.9;34.9427;8.955;0;142;0;0;8;3605774;99999999;20;25;60;1;1;3600000
2023-8-20;0:42:13;cq;20201110;3499.5;0;21163.7;19512.3;274.591;40.6033;0;141;0;0;8;3603261;99999999;20;25;60;1;1;3600000
2023-8-20;0:42:15;cq;20201120;3401.5;0;22537;20582.4;64.8534;10.6117;0;140;0;0;8;3607092;99999999;20;25;60;1;1;3600000
2023-8-20;0:42:16;cq;20201030;3513;0;19503.4;17819.3;94.1401;28.645;0;144;0;0;8;3606701;99999999;20;25;60;1;1;3600000
2023-8-20;0:42:25;cq;20201014;3471;0;21806.5;20749.6;142.047;33.74;0;136;0;0;8;3614448;99999999;20;25;60;1;1;3600000
2023-8-20;0:42:26;cq;20201118;3541;0;20640.2;19084.5;248.942;46.7767;0;136;0;0;8;3613378;99999999;20;25;60;1;1;3600000
2023-8-20;0:42:37;cq;20201029;3946.5;0;24240.4;22381.3;481.056;51.255;0;149;0;0;8;3617852;99999999;20;25;60;1;1;3600000
2023-8-20;0:42:59;cq;20201112;3684.5;0;21447;19918.3;36.4052;7.19333;14;141;0;0;8;3643245;99999999;20;25;60;1;1;3600000
2023-8-20;0:43:7;cq;20201113;3670.5;0;23200.9;21749.4;125.922;42.5383;0;144;0;0;8;3650676;99999999;20;25;60;1;1;3600000
2023-8-20;0:43:8;cq;20201104;3953.5;0;26017.7;24398.5;612.519;57.3067;0;148;0;0;8;3648443;99999999;20;25;60;1;1;3600000
2023-8-20;0:47:41;cq;20201006;3739.5;0;24638.4;23124.4;98.5428;41.9861;0;133;0;0;8;3923723;99999999;20;25;60;1;1;3600000
2023-8-20;1:3:40;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;0;0;1;3602925;99999999;20;25;60;1;1;3600000
2023-8-20;1:3:55;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3612707;99999999;20;25;60;1;1;3600000
2023-8-20;1:4:15;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;0;0;2;3607094;99999999;20;25;60;1;1;3600000
2023-8-20;1:4:22;cq;20201031;375;0;1014.25;702.885;0;0;0;15;0;0;2;3611650;99999999;20;25;60;1;1;3600000
2023-8-20;1:4:27;cq;20201114;388;0;1666.04;1350.22;0;0;16;17;0;0;2;3614003;99999999;20;25;60;1;1;3600000
2023-8-20;1:4:31;cq;20201021;1160.5;0;5313.26;4822.13;0;0;0;73;0;0;6;3608659;99999999;20;25;60;1;1;3600000
2023-8-20;1:4:39;cq;20201013;1565;0;8270.07;7678.19;0;0;3;95;0;0;8;3606648;99999999;20;25;60;1;1;3600000
2023-8-20;1:4:42;cq;20201003;613.5;0;3229.24;3312.32;0;0;0;27;0;0;3;3626136;99999999;20;25;60;1;1;3600000
2023-8-20;1:4:43;cq;20201024;937.5;0;3834.21;3448.64;0;0;0;28;0;0;3;3619447;99999999;20;25;60;1;1;3600000
2023-8-20;1:4:45;cq;20201016;2060;0;10740.6;9897.51;0;0;0;103;0;0;8;3609148;99999999;20;25;60;1;1;3600000
2023-8-20;1:4:47;cq;20201130;2327.5;0;15090.3;13454.3;23.3514;10;10;116;0;0;6;3604104;99999999;20;25;60;1;1;3600000
2023-8-20;1:4:49;cq;20201026;1839.5;0;11832.6;10984.3;0;0;0;113;0;0;8;3617361;99999999;20;25;60;1;1;3600000
2023-8-20;1:4:58;cq;20201125;2425;0;17982.5;16668.8;92.0409;17.6433;0;134;0;0;7;3609142;99999999;20;25;60;1;1;3600000
2023-8-20;1:4:59;cq;20201007;2512.5;0;13752.7;12582.4;0;0;15;127;0;0;8;3608162;99999999;20;25;60;1;1;3600000
2023-8-20;1:5:17;cq;20201109;1746.5;0;12969.1;11884.5;0;0;0;94;0;0;7;3647400;99999999;20;25;60;1;1;3600000
2023-8-20;1:5:32;cq;20201116;2939.5;0;22297.5;20654.7;228.305;49.0917;0;136;0;0;7;3613884;99999999;20;25;60;1;1;3600000
2023-8-20;1:5:43;cq;20201110;3499.5;0;22591.1;20912.4;220.973;52.9367;0;141;0;0;8;3622185;99999999;20;25;60;1;1;3600000
2023-8-20;1:5:44;cq;20201128;776;0;2288.89;1677.81;0;0;0;29;0;0;3;3681439;99999999;20;25;60;1;1;3600000
2023-8-20;1:5:51;cq;20201102;3078.5;0;23294.5;22389.6;3.95833;1.78167;0;132;0;0;8;3629581;99999999;20;25;60;1;1;3600000
2023-8-20;1:5:53;cq;20201123;2595;0;18340.2;16954;82.9784;40.7783;0;128;0;0;7;3646877;99999999;20;25;60;1;1;3600000
2023-8-20;1:5:59;cq;20201002;2893.5;0;16923.5;15749.7;0;0;0;126;0;0;8;3641035;99999999;20;25;60;1;1;3600000
2023-8-20;1:6:0;cq;20201009;3229;0;18303.9;16899.9;54.6982;15.9133;0;128;0;0;8;3641097;99999999;20;25;60;1;1;3600000
2023-8-20;1:6:8;cq;20201020;2673;0;17434.2;16727.9;28.1583;13.5117;0;133;0;0;8;3657528;99999999;20;25;60;1;1;3600000
2023-8-20;1:6:12;cq;20201120;3401.5;0;22452.2;20459.3;333.067;58.0048;0;140;0;0;8;3651029;99999999;20;25;60;1;1;3600000
2023-8-20;1:6:19;cq;20201124;2685.5;0;16843.1;15136.3;60.6999;26.3867;0;126;0;0;8;3660103;99999999;20;25;60;1;1;3600000
2023-8-20;1:6:32;cq;20201111;3437.5;0;23249.3;21601.9;30.164;13.7697;16;142;0;0;8;3669224;99999999;20;25;60;1;1;3600000
2023-8-20;1:6:38;cq;20201014;3471;0;23740.7;22638.4;152.422;34.555;0;137;0;0;8;3676650;99999999;20;25;60;1;1;3600000
2023-8-20;1:6:42;cq;20201106;3350.5;0;20926.7;19561.9;146.538;38.6139;0;141;0;0;8;3680992;99999999;20;25;60;1;1;3600000
2023-8-20;1:7:11;cq;20201030;3513;0;21198.7;19424.7;127.531;40.3733;0;149;0;0;8;3670075;99999999;20;25;60;1;1;3600000
2023-8-20;1:7:21;cq;20201126;2971;0;21505.9;20123.5;418.116;57.791;0;132;0;0;7;3719257;99999999;20;25;60;1;1;3600000
2023-8-20;1:8:10;cq;20201118;3541;0;22008.3;20379.7;239.913;47.3821;0;139;0;0;8;3607951;99999999;20;25;60;1;1;3600000
2023-8-20;1:8:22;cq;20201113;3670.5;0;23081.8;21709.1;257.772;45.7767;0;144;0;0;8;3603750;99999999;20;25;60;1;1;3600000
2023-8-20;1:8:37;cq;20201006;3739.5;0;24374.5;22811;126.349;31.3183;0;138;0;0;8;3609707;99999999;20;25;60;1;1;3600000
2023-8-20;1:8:42;cq;20201104;3953.5;0;25170.5;23741.4;498.578;56.4555;0;148;0;0;8;3616981;99999999;20;25;60;1;1;3600000
2023-8-20;1:9:16;cq;20201112;3684.5;0;21633.4;20177.1;206.413;26.6638;0;140;0;0;8;3644322;99999999;20;25;60;1;1;3600000
2023-8-20;1:10:5;cq;20201029;3946.5;0;24258;22332.3;460.981;36.555;0;147;0;0;8;3697669;99999999;20;25;60;1;1;3600000
2023-8-20;1:21:32;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;0;0;1;3612794;99999999;20;25;60;1;1;3600000
2023-8-20;1:21:36;cq;20201031;375;0;1013.11;702.314;0;0;18;15;0;0;2;3606927;99999999;20;25;60;1;1;3600000
2023-8-20;1:21:37;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3615095;99999999;20;25;60;1;1;3600000
2023-8-20;1:21:46;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;0;0;2;3617006;99999999;20;25;60;1;1;3600000
2023-8-20;1:21:47;cq;20201003;613.5;0;3198.61;3251.13;0;0;0;27;0;0;3;3607508;99999999;20;25;60;1;1;3600000
2023-8-20;1:21:51;cq;20201128;776;0;2247.14;1650.08;0;0;0;29;0;0;3;3611087;99999999;20;25;60;1;1;3600000
2023-8-20;1:21:51;cq;20201114;388;0;1661.27;1341.07;0;0;0;19;0;0;2;3614967;99999999;20;25;60;1;1;3600000
2023-8-20;1:22:27;cq;20201013;1565;0;8398.22;7810.84;0;0;10;94;0;0;8;3612410;99999999;20;25;60;1;1;3600000
2023-8-20;1:22:29;cq;20201109;1746.5;0;12551.9;11469;0;0;7;92;0;0;7;3609313;99999999;20;25;60;1;1;3600000
2023-8-20;1:22:42;cq;20201021;1160.5;0;5187.25;4665.07;0;0;0;73;0;0;6;3640881;99999999;20;25;60;1;1;3600000
2023-8-20;1:22:53;cq;20201026;1839.5;0;11844.3;11061.9;0;0;33;112;0;0;8;3614071;99999999;20;25;60;1;1;3600000
2023-8-20;1:23:12;cq;20201007;2512.5;0;13565;12366.6;0;0;48;123;0;0;8;3616421;99999999;20;25;60;1;1;3600000
2023-8-20;1:23:13;cq;20201016;2060;0;10726.3;9899.98;0;0;0;107;0;0;8;3629760;99999999;20;25;60;1;1;3600000
2023-8-20;1:23:17;cq;20201123;2595;0;18546.3;17206.4;72.3745;29.0217;0;127;0;0;7;3615605;99999999;20;25;60;1;1;3600000
