DATE;QUANTITY;t1;t2;d1;d2;DRIVER_NBR;TRUCK_NBR
2020-10-01;3174,0;19707,918333333335;19365,378333333334;18577,0713;18217,6722;118;134
2020-10-02;2893,5;17449,1;17382,265;16152,6589;16021,1888;117;131
2020-10-03;613,5;3790,853333333333;3790,853333333333;3942,4915;3942,4915;27;30
2020-10-05;3200,0;19844,31166666667;19861,601666666666;18417,1573;18451,8158;108;120
2020-10-06;3739,5;23475,966666666667;23444,868333333332;21905,2478;21886,754399999998;123;139
2020-10-07;2512,5;14276,185;14320,821666666667;12895,9288;12911,969799999999;124;128
2020-10-08;4302,5;23854,65166666667;23791,373333333333;21820,5989;21786,0848;123;142
2020-10-09;3229,0;17923,90166666667;17865,196666666667;16253,182499999999;16153,315999999999;113;131
2020-10-10;267,0;780,8416666666667;780,8416666666667;543,0532;543,0532;13;13
2020-10-13;1565,0;8453,735;8417,803333333333;7817,023099999999;7774,6726;99;104
2020-10-14;3471,0;21446,006666666668;21217,36;20080,8966;19876,4187;123;141
2020-10-15;4181,0;25332,27666666667;25092,191666666666;23302,7627;23020,3323;123;140
2020-10-16;2060,0;11072,021666666667;10943,373333333333;10108,5021;9981,4497;112;118
2020-10-17;819,0;3670,808333333333;3670,808333333333;3412,6845999999996;3412,6845999999996;28;29
2020-10-19;3009,5;20079,911666666667;19915,853333333333;18578,1254;18375,3359;121;137
2020-10-20;2673,0;16101,97;16047,93;15392,1053;15319,220299999999;133;136
2020-10-21;1160,5;5754,6033333333335;5754,6033333333335;5244,6754;5244,6754;78;76
2020-10-22;3437,0;24466,346666666668;24413,225000000002;23219,0205;23147,1459;136;149
2020-10-23;3818,0;22817,313333333335;22562,256666666668;20897,3741;20615,7441;131;144
2020-10-24;937,5;4391,62;4398,2283333333335;4021,8541;4029,3507;34;37
2020-10-26;1839,5;12535,121666666666;12508,133333333333;11664,7716;11638,7174;116;117
2020-10-27;3597,0;22702,416666666668;22561,565;21092,440599999998;20958,5759;132;158
2020-10-28;3092,5;22050,845;22189,098333333335;20494,5739;20622,122;136;149
2020-10-29;3946,5;23282,613333333335;23268,213333333333;21157,7587;21106,786;131;153
2020-10-30;3513,0;19900,27;19654,643333333333;18096,2663;17834,9221;131;152
2020-10-31;375,0;1116,5183333333332;1087,02;789,8539999999999;758,7402;15;15
2020-11-02;3078,5;22165,933333333334;22171,878333333334;20914,8433;20936,7457;125;132
2020-11-03;4042,5;23383,725;23621,863333333335;21774,1927;22046,4825;124;145
2020-11-04;3953,5;23816,966666666667;23716,79;22082,5415;21978,0572;128;152
2020-11-05;4080,0;23342,648333333334;23450,425;21619,2998;21673,4515;128;148
2020-11-06;3350,5;20630,45;20488,90166666667;19153,1585;19011,5364;124;142
2020-11-07;333,5;856,6983333333334;856,6983333333334;555,132;555,132;18;18
2020-11-09;1746,5;13192,386666666667;13211,453333333335;11997,3305;12015,3953;94;98
2020-11-10;3499,5;21051,133333333335;20978,245;19088,837;18963,8021;124;146
2020-11-11;3437,5;22541,405;22692,111666666668;20668,7102;20833,0892;126;144
2020-11-12;3684,5;22283,566666666666;22031,551666666666;20557,8825;20275,9871;121;143
2020-11-13;3670,5;22073,52;21986,588333333333;20604,6905;20496,0217;123;145
2020-11-14;388,0;1933,1666666666667;1933,1666666666667;1566,6009000000001;1566,6009000000001;19;19
2020-11-16;2939,5;20659,1;20699,148333333334;18638,2667;18606,6722;122;137
2020-11-17;3288,5;21968,295000000002;21870,015;20411,5676;20302,4585;124;142
2020-11-18;3541,0;20460,926666666666;20524,16;18752,9448;18831,6818;124;140
2020-11-19;3447,5;21708,926666666666;21810,36;19990,7419;20134,7521;121;144
2020-11-20;3401,5;22180,565;22414,516666666666;20026,6827;20278,0768;120;144
2020-11-21;226,5;1315,3383333333334;1315,3383333333334;1010,1621;1010,1621;13;13
2020-11-23;2595,0;18796,718333333334;18788,213333333333;17302,9144;17278,1859;118;129
2020-11-24;2685,5;16572,44;16542,3;14660,0054;14620,0273;124;128
2020-11-25;2425,0;18368,635000000002;18424,648333333334;16840,3999;16894,759299999998;127;139
2020-11-26;2971,0;20694,205;20610,923333333332;19144,533199999998;19046,063;121;135
2020-11-27;3129,5;19828,178333333333;19757,920000000002;17690,7628;17622,7375;121;140
2020-11-28;776,0;2429,6400000000003;2429,6400000000003;1753,8107;1753,8107;27;31
2020-11-30;2327,5;21794,266666666666;21740,55;20853,0433;20795,5521;107;117
