Name,Depot,QUANTITY,d1,GES_CQ,distanceCost,GES,Ecart
20201019,8,3009.5,18578.13,17995476.56,18340.9,17765686.64,1.28
20201128,3,776.0,1753.81,438037.48,1669.61,417007.4,4.8
20201009,8,3229.0,16253.18,16891701.45,15630.2,16244247.1,3.83
20201121,1,226.5,1010.16,73641.97,958.35,69864.95,5.13
20201027,8,3592.0,21068.94,24358246.51,20893.1,24154954.17,0.83
20201020,8,2638.0,15371.02,13051020.92,14428.9,12251098.22,6.13
20201006,8,3749.5,22024.48,26579452.35,21191.9,25574683.09,3.78
20201028,7,3089.5,20494.57,20379523.12,20475.3,20360361.29,0.09
20201003,3,651.5,3963.57,831128.09,3585.1,751766.04,9.55
20201022,8,3428.5,23215.51,25618245.87,21739.3,23989252.55,6.36
