Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL
2023-8-7;1:43:25;cq;20201014;3397;74;23226.8;22159.4;462.74;0;135;446.515;2981.17;8;3005785;120;10;25;20
2023-8-7;1:43:27;cq;20201003;603.5;10;3503.06;3512.69;18.775;0;28;313.937;116.981;3;3008009;120;10;25;20
2023-8-7;1:43:29;cq;20201013;1565;0;10110.7;9567.4;16;0;100;2945.82;24.6933;8;3010029;120;10;25;20
2023-8-7;1:43:30;cq;20201010;267;0;745.097;523.463;0;0;13;0;0;1;3010916;120;10;25;20
2023-8-7;1:43:37;cq;20201016;2047;13;11572.7;10757;186.713;0;115;2561.21;941.304;8;3012425;120;10;25;20
2023-8-7;1:43:42;cq;20201009;3175;54;18631.1;17123.7;351.664;0;128;922.051;2680.1;8;3023278;120;10;25;20
2023-8-7;1:43:52;cq;20201002;2763.5;130;17373.4;16105.8;185.383;0;127;2304.1;1876.13;8;3033271;120;10;25;20
2023-8-7;1:43:53;cq;20201005;3149.5;50.5;20444.1;19044.8;303.306;0;116;403.556;3350.08;8;3034327;120;10;25;20
2023-8-7;1:43:55;cq;20201008;4114;188.5;23347.2;21765.8;400.795;0;141;485.185;5140;8;3036402;120;10;25;20
2023-8-7;1:44:2;cq;20201006;3594;145.5;24050.5;22615.3;451.993;0;137;706.033;4637.3;8;3042978;120;10;25;20
2023-8-7;1:44:11;cq;20201017;297;522;1268.09;999.706;0;0;18;2196.88;165.647;2;3047125;120;10;25;20
2023-8-7;1:44:27;cq;20201001;2910.5;263.5;19818.5;18864.5;275.519;0;130;1097.84;1703.57;7;3067650;120;10;25;20
2023-8-7;1:44:43;cq;20201015;3947.5;233.5;24090.6;22303.3;373.22;0;140;721.442;5189.65;8;3083450;120;10;25;20
2023-8-7;1:47:10;cq;20201028;2847;245.5;21434.7;20103.9;365.222;0;144;1826.47;1189.92;7;3005512;120;10;25;20
2023-8-7;1:47:16;cq;20201022;3254;183;23958;22847.7;466.859;0;147;1143.52;3158.21;8;3012826;120;10;25;20
2023-8-7;1:47:24;cq;20201020;2641;32;18426.9;17756.6;329.973;0;135;1114.24;1930.67;8;3020865;120;10;25;20
2023-8-7;1:47:38;cq;20201019;2932;77.5;20085;18850.3;389.921;0;137;1136.27;1086.45;8;3034494;120;10;25;20
2023-8-7;1:47:43;cq;20201029;3801;145.5;23530.5;21568.2;499.694;0;148;708.365;3152.62;8;3039451;120;10;25;20
2023-8-7;1:47:50;cq;20201023;3588;230;22730.5;21231.5;387.134;0;145;1150.2;4219.74;8;3047454;120;10;25;20
2023-8-7;1:47:58;cq;20201027;3511;86;23596.3;22187.2;368.882;0;154;1417.3;3297.09;8;3053914;120;10;25;20
2023-8-7;1:50:38;cq;20201102;3046;32.5;24818.8;23950.7;384.181;0;131;282.972;2502.69;8;3006129;120;10;25;20
2023-8-7;1:50:43;cq;20201031;375;0;1016.51;704.028;0;11;15;209.379;111.21;2;3010967;120;10;25;20
2023-8-7;1:50:49;cq;20201030;3326;187;20082.5;18354.7;409.12;0;149;1751.58;1825.82;8;3016926;120;10;25;20
2023-8-7;1:50:55;cq;20201109;1709.5;37;14781.1;13729;188.598;0;92;1108.77;1278.97;7;3015195;120;10;25;20
2023-8-7;1:50:56;cq;20201103;3726.5;316;24910.1;23440.9;402.059;0;143;454.434;4987.86;8;3024326;120;10;25;20
2023-8-7;1:51:0;cq;20201107;333.5;0;804.273;511.374;0;0;18;267.449;0;2;3026516;120;10;25;20
2023-8-7;1:51:10;cq;20201110;3288;211.5;20819.9;19082.9;287.065;0;142;1313.92;3677.78;8;3037408;120;10;25;20
2023-8-7;1:51:11;cq;20201106;3131.5;219;20102.7;18831.8;459.26;0;141;1106.88;1588.81;8;3037948;120;10;25;20
2023-8-7;1:51:58;cq;20201104;3642;311.5;22076.2;20520.1;442.855;0;148;920.702;1866.93;8;3085042;120;10;25;20
2023-8-7;1:52:37;cq;20201105;3612;468;23102.9;21612.1;444.522;0;146;1579.06;3542.47;8;3124860;120;10;25;20
2023-8-7;1:54:12;cq;20201111;3353.5;84;23837.8;22233.6;398.21;0;143;1274.24;3118.57;8;3010047;120;10;25;20
2023-8-7;1:54:23;cq;20201116;2677;262.5;21299.4;20005.6;328.318;0;136;1265.07;2303.93;7;3021852;120;10;25;20
2023-8-7;1:54:27;cq;20201119;3194;253.5;21704.2;20141.5;478.945;0;141;788.682;2791.06;8;3025794;120;10;25;20
2023-8-7;1:54:28;cq;20201113;3478.5;192;22909.2;21528.5;508.275;0;144;1169.47;1695.52;8;3026106;120;10;25;20
2023-8-7;1:54:29;cq;20201117;2993;295.5;20135.3;18801.5;455.444;0;140;797.212;1823.62;7;3027803;120;10;25;20
2023-8-7;1:54:29;cq;20201121;226.5;0;1243.55;958.349;0.0771429;0;13;72.304;0;1;3020847;120;10;25;20
2023-8-7;1:54:35;cq;20201118;3220.5;320.5;21272.5;19869.6;367.464;0;139;542.625;2106.37;8;3033580;120;10;25;20
2023-8-7;1:55:8;cq;20201123;2458.5;136.5;18389.3;16974.3;211.339;0;128;1231.68;1491.33;7;3011951;120;10;25;20
2023-8-7;1:56:0;cq;20201120;3137.5;264;23330.6;21623.2;361.801;0;140;740.091;2256.6;8;3111806;120;10;25;20
2023-8-7;1:56:9;cq;20201112;3574.5;110;23552.2;22149.7;342.165;0;142;536.827;2936.05;8;3127306;120;10;25;20
2023-8-7;1:58:20;cq;20201125;2299;126;17712;16503;293.136;0;136;2428.12;432.482;7;3017131;120;10;25;20
2023-8-7;1:58:31;cq;20201130;2174.5;153;14104.8;12695.1;210.992;0;117;1777.46;824.348;6;3029199;120;10;25;20
2023-8-7;1:58:32;cq;20201128;776;0;2306.55;1701.79;0;0;29;753.666;523.863;3;3029799;120;10;25;20
2023-8-7;1:58:33;cq;20201124;2616.5;69;16349.2;14639.1;365.446;0;127;1152.3;1801.82;8;3030405;120;10;25;20
2023-8-7;1:58:55;cq;20201127;2476.5;653;17404.3;16088.6;272.126;0;136;2090.27;2070.16;7;3053337;120;10;25;20
2023-8-7;1:59:6;cq;20201126;2676;295;20626;19311.1;402.197;0;133;1182.55;1232.24;7;3063662;120;10;25;20
