Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime
2023-8-1;0:45:35;cq;20201009;3229;0;18199.8;16556.5;65.565;0;133;0;20829.1;8;354987
2023-8-1;0:46:0;cq;20201006;3749.5;0;24844.5;23360.9;40.3413;0;141;0;35717.2;8;380419
2023-8-1;0:47:26;cq;20201010;267;0;745.097;523.463;0;0;13;0;1118.87;1;466062
2023-8-1;0:47:28;cq;20201005;3190;0;20140.2;18679.4;41.6194;0;120;0;32622.2;8;468319
2023-8-1;0:48:8;cq;20201007;2512.5;0;14118.5;12810.9;0;0;126;360;15463.4;8;508327
2023-8-1;0:48:52;cq;20201017;819;0;3456.06;3192.09;0;0;30;0;5849.12;2;354086
2023-8-1;0:49:22;cq;20201024;957.5;0;4194.05;3869.39;0;0;39;0;10109.4;3;379808
2023-8-1;0:49:38;cq;20201016;2060;0;10700.8;9728.12;0;0;120;0;14847.5;8;398048
2023-8-1;0:50:15;cq;20201015;4181;0;25817.5;23748.5;371.57;0;142;0;40526.8;8;435004
2023-8-1;0:51:12;cq;20201023;3837.5;0;23204.6;21362.9;93.4469;0;145;0;37861.3;8;488001
2023-8-1;0:51:17;cq;20201019;3009.5;0;18811.6;17372;0;0;135;360;19226.7;8;493599
2023-8-1;0:51:36;cq;20201104;3919;34.5;25910.2;24282.4;296.641;0;152;180;26308.5;8;307404
2023-8-1;0:51:48;cq;20201031;375;0;1016.51;704.028;0;0;15;0;1407.54;2;319406
2023-8-1;0:51:56;cq;20201027;3592;0;23671.6;22126.4;99.3808;0;157;180;31365.4;8;328467
2023-8-1;0:52:5;cq;20201026;1839.5;0;12297.8;11421.9;0;0;115;360;11242.1;8;337193
2023-8-1;0:52:11;cq;20201003;651.5;0;3702.52;3685.92;0;0;33;360;5747.33;3;751192
2023-8-1;0:53:12;cq;20201102;3078.5;0;22169.2;21098.8;6.58167;0;133;0;20691.8;8;402856
2023-8-1;0:53:47;cq;20201013;1565;0;8358.86;7714.51;0;0;103;180;5732.34;8;847055
2023-8-1;0:54:39;cq;20201105;4080;0;24327.4;22565.1;83.9368;0;148;0;37941.7;8;490639
2023-8-1;0:55:12;cq;20201020;2638;0;16222.1;15442.4;67.26;0;136;0;30810.9;8;727838
2023-8-1;0:55:29;cq;20201112;3684.5;0;21757.9;20092.1;76.8104;0;143;0;30037.6;8;339474
2023-8-1;0:56:10;cq;20201114;388;0;1693.43;1372.05;0;0;18;180;1378.73;2;371437
2023-8-1;0:58:24;cq;20201111;3437.5;0;23603.9;21847.6;43.9215;0;144;0;31683.5;8;513490
2023-8-1;0:58:32;cq;20201002;2951.5;0;17692.7;16362.7;2.29639;0;132;180;24981.3;8;1132474
2023-8-1;0:58:46;cq;20201113;3670.5;0;22234;20648.2;77.9149;0;145;0;21696.1;8;527085
2023-8-1;0:59:4;cq;20201117;3288.5;0;22360.8;20854.8;664.306;0;142;0;28069.5;7;545142
2023-8-1;0:59:4;cq;20201126;2971;0;20987.5;19354.9;456.774;0;135;0;23765.5;7;347117
2023-8-1;0:59:18;cq;20201029;3943.5;0;24541.7;22435.9;152.341;0;153;0;35353.6;8;769703
2023-8-1;0:59:46;cq;20201001;3078;0;19081.5;17930.8;211.692;0;136;0;27527;7;1206464
2023-8-1;1:0:3;cq;20201119;3447.5;0;22366.2;20592.4;318.514;0;144;0;31749.6;8;411209
2023-8-1;1:2:0;cq;20201116;2939.5;0;21403;19558.7;95.0162;0;136;180;25769.5;7;720751
2023-8-1;1:2:33;cq;20201106;3350.5;0;21310.3;19942.2;47.5954;0;143;0;23796.9;8;763007
2023-8-1;1:3:13;cq;20201127;3129.5;0;20200.9;18339.6;46.8293;0;140;2.29833;30943.9;7;593842
2023-8-1;1:4:1;cq;20201010;267;0;745.097;523.463;0;0;13;0;1114.42;1;437564
2023-8-1;1:4:57;cq;20201125;2425;0;18350.9;16819.8;105.466;0;139;180;22244.7;7;698339
2023-8-1;1:5:3;cq;20201121;226.5;0;1243.55;958.349;0;0;13;0;149.37;1;708451
2023-8-1;1:5:22;cq;20201020;2638;0;16080.8;15442.7;81.615;0;136;0;28961.4;8;316257
2023-8-1;1:5:35;cq;20201009;3229;0;18173.6;16541.7;48.8455;0;133;0;23353.2;8;531842
2023-8-1;1:5:41;cq;20201013;1565;0;8379.51;7738.09;0;0;104;0;5004.78;8;338708
2023-8-1;1:6:4;cq;20201107;333.5;0;753.263;471.468;0;0;18;0;496.824;2;973871
2023-8-1;1:6:26;cq;20201019;3009.5;0;18896.3;17488;0;0;137;0;19630.9;8;384363
2023-8-1;1:6:26;cq;20201103;4042.5;0;24113.9;22642.7;224.414;0;146;0;34780.5;8;1197656
2023-8-1;1:7:4;cq;20201022;3428.5;0;24817.8;23596.5;98.8599;0;151;0;39294.3;8;421901
2023-8-1;1:7:4;cq;20201008;4302.5;0;24443.1;22480.9;412.952;0;143;0;38997.8;8;626252
2023-8-1;1:7:6;cq;20201021;1164.5;0;5425.12;4905.33;0;0;73;540;10446;6;420049
2023-8-1;1:7:22;cq;20201023;3837.5;0;24050.7;22220.8;77.6353;0;143;360;42527.1;8;440014
2023-8-1;1:7:51;cq;20201109;1746.5;0;12785.4;11645.8;0;0;98;0;10833.8;7;1081768
2023-8-1;1:8:10;cq;20201005;3190;0;20495.9;18992.7;23.8483;0;120;0;29913.5;8;692032
2023-8-1;1:8:29;cq;20201021;1164.5;0;5398.31;4850.54;0;0;74;360;11234.9;6;1524931
2023-8-1;1:8:32;cq;20201002;2951.5;0;16825.8;15442.9;0;0;133;0;25129.1;8;708796
2023-8-1;1:8:49;cq;20201031;375;0;1017.65;704.599;0;0;15;0;1182.28;2;320763
2023-8-1;1:8:58;cq;20201104;3953.5;0;24872.4;23227.9;230.892;0;152;180;22930.9;8;329018
2023-8-1;1:10:19;cq;20201001;3078;0;19376.4;18216.8;131.614;0;136;0;26160.1;7;820304
2023-8-1;1:10:46;cq;20201014;3471;0;21696.3;20393.7;176.757;0;142;0;30074.6;8;644510
2023-8-1;1:10:47;cq;20201030;3524;0;20004.1;18203.3;24.27;0;153;0;25116;8;1459221
2023-8-1;1:11:23;cq;20201003;651.5;0;3696.69;3683.73;0;0;35;0;8528.97;3;883338
2023-8-1;1:11:35;cq;20201015;4181;0;25415.6;23305.1;147.152;0;142;0;36328.5;8;693240
2023-8-1;1:11:42;cq;20201017;819;0;3386.09;3120.26;0;0;30;0;5153.33;2;699651
2023-8-1;1:12:7;cq;20201102;3078.5;0;21734.8;20561.2;4.91333;0;133;0;20894.7;8;518185
2023-8-1;1:12:24;cq;20201014;3471;0;21872.5;20590.3;99.1621;0;142;0;29981.3;8;1764146
2023-8-1;1:12:48;cq;20201110;3499.5;0;21189.8;19294.5;396.057;0;146;0;27080.8;8;348402
2023-8-1;1:13:2;cq;20201105;4080;0;23988.1;22240.4;160.71;0;148;0;40754.1;8;364736
2023-8-1;1:13:20;cq;20201103;4042.5;0;24074.6;22506.3;205.983;0;146;0;36934.2;8;592109
2023-8-1;1:14:40;cq;20201130;2327.5;0;14656.2;13041.7;12.7898;0;118;0;16094.4;6;1081181
2023-8-1;1:14:48;cq;20201022;3428.5;0;24397.4;23215;58.009;0;151;0;36201.5;8;1904252
2023-8-1;1:15:18;cq;20201112;3684.5;0;21871.4;20166.7;71.5429;0;142;180;28491.4;8;498418
2023-8-1;1:15:21;cq;20201106;3350.5;0;20824.8;19287;30.6026;0;143;0;23287;8;503827
2023-8-1;1:16:12;cq;20201119;3431.5;16;21897.8;20102.3;300.287;0;144;0;32101.6;8;344467
2023-8-1;1:16:48;cq;20201118;3541;0;20988.4;19323.6;379.419;0;141;0;24783.1;8;380383
2023-8-1;1:17:1;cq;20201015;4181;0;25093.3;23005.4;284.616;0;142;0;37774.1;8;318205
2023-8-1;1:17:2;cq;20201020;2638;0;15784;15072.2;81.815;0;135;180;30046.7;8;320628
2023-8-1;1:17:4;cq;20201031;375;0;1018.78;705.17;0;0;15;0;1073.03;2;319225
2023-8-1;1:17:8;cq;20201005;3190;0;20585.3;19154.6;40.8033;0;120;0;31888.4;8;320855
2023-8-1;1:17:15;cq;20201013;1565;0;8353.24;7699.3;0;0;102;360;7332.1;8;332008
2023-8-1;1:17:21;cq;20201002;2951.5;0;17527.3;16182.2;2.555;0;128;900;24278.1;8;333932
2023-8-1;1:17:28;cq;20201128;776;0;2304.42;1682.05;0;0;31;0;4262.77;3;341226
2023-8-1;1:17:28;cq;20201103;4042.5;0;24461.3;22809.5;147.65;0;146;0;33156.9;8;343622
2023-8-1;1:17:38;cq;20201117;3288.5;0;22407.2;20871.9;609.451;0;142;0;27168.3;7;431177
2023-8-1;1:17:44;cq;20201030;3524;0;20179.1;18298;66.1653;0;153;0;24145;8;360237
2023-8-1;1:17:45;cq;20201130;2327.5;0;14930.2;13354;26.6738;0;118;0;16025.7;6;358164
2023-8-1;1:17:45;cq;20201105;4080;0;24426.2;22615.7;61.013;0;148;0;39995.5;8;360963
2023-8-1;1:18:4;cq;20201023;3837.5;0;22818.4;21097.9;102.704;0;145;0;41620.3;8;380661
2023-8-1;1:18:12;cq;20201120;3401.5;0;22703.3;20517.8;35.4228;0;144;0;30758.8;8;464943
2023-8-1;1:18:50;cq;20201128;776;0;2272.45;1651.3;0;0;31;0;2527.89;3;1530699
2023-8-1;1:19:3;cq;20201013;1565;0;8368.45;7701.28;0;0;103;180;6487.98;8;331307
2023-8-1;1:19:6;cq;20201015;4181;0;25799.9;23634.7;201.432;0;142;0;40345.6;8;335217
2023-8-1;1:19:7;cq;20201121;226.5;0;1243.55;958.349;0;0;13;0;148.297;1;444670
2023-8-1;1:19:8;cq;20201119;3428.5;19;22072.5;20299.4;552.03;0;144;0;34697;8;445324
2023-8-1;1:19:9;cq;20201102;3078.5;0;22020.6;20876.4;15.0324;0;133;0;21715;8;443817
2023-8-1;1:19:12;cq;20201008;4302.5;0;24504.6;22475.3;532.643;0;143;0;41408.5;8;449469
2023-8-1;1:19:19;cq;20201010;267;0;745.097;523.463;0;0;13;0;1118.96;1;456057
2023-8-1;1:19:24;cq;20201003;651.5;0;3652.23;3588.39;0;0;33;360;8000.3;3;460828
2023-8-1;1:19:36;cq;20201003;651.5;0;3678.44;3633.27;0;0;33;360;5412.84;3;468818
2023-8-1;1:19:36;cq;20201021;1164.5;0;5435.04;4885.32;0;0;75;180;11089.7;6;474437
2023-8-1;1:19:41;cq;20201127;3129.5;0;20999.7;19224.4;78.6943;0;140;0;33117;7;478670
2023-8-1;1:19:46;cq;20201001;3078;0;19548.3;18381.5;187.675;0;136;0;25015;7;483227
2023-8-1;1:20:0;cq;20201109;1746.5;0;12809.2;11645.1;0;0;98;0;10514.3;7;780396
2023-8-1;1:20:14;cq;20201016;2060;0;10488.9;9573.97;0;0;120;0;14753.4;8;1212055
2023-8-1;1:20:24;cq;20201027;3592;0;23553;22083.5;105.514;0;158;0;31736.3;8;1015369
2023-8-1;1:20:25;cq;20201007;2512.5;0;14037.6;12752.6;0;0;127;180;15926.6;8;521994
2023-8-1;1:20:25;cq;20201026;1839.5;0;12157;11273.8;0;0;116;180;8881.82;8;1017487
2023-8-1;1:20:36;cq;20201007;2512.5;0;13978.8;12704.1;0;0;128;0;14961.3;8;528906
2023-8-1;1:20:54;cq;20201024;957.5;0;4162;3840.67;0;0;37;360;9953.61;3;1045987
2023-8-1;1:20:59;cq;20201026;1839.5;0;12359.4;11476.7;0;0;116;180;11268.2;8;554342
2023-8-1;1:21:2;cq;20201104;3953.5;0;24533.4;22910.1;251.75;0;153;0;25184.2;8;557399
2023-8-1;1:21:15;cq;20201010;267;0;745.097;523.463;0;0;12;180;1105.64;1;464399
2023-8-1;1:21:34;cq;20201007;2512.5;0;14024.2;12767.7;0;0;126;360;16867.4;8;1492595
2023-8-1;1:22:3;cq;20201118;3541;0;20887.5;19328.3;179.236;0;141;0;24480;8;620084
2023-8-1;1:22:4;cq;20201125;2425;0;18375.8;16943.3;63.4964;0;140;0;25041.1;7;696751
2023-8-1;1:22:6;cq;20201114;388;0;1683.39;1366.88;0;0;19;0;1505.39;2;622916
2023-8-1;1:22:6;cq;20201002;2951.5;0;17654.5;16375.9;3.695;0;130;540;22735.9;8;623513
2023-8-1;1:22:12;cq;20201030;3524;0;19819.3;17966.9;38.8788;0;153;0;24193.3;8;307496
2023-8-1;1:22:21;cq;20201102;3078.5;0;21339.8;20156.3;3.33833;0;133;0;21038.5;8;311629
2023-8-1;1:22:23;cq;20201006;3749.5;0;23582.3;21917;27.0283;0;141;0;35580;8;636225
