Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH;NO_SHIFT_LIMIT;TIME_LIMIT
2023-8-16;9:50:34;cq;20201121;226.5;0;1243.55;958.349;6.1319;6.1319;0;13;0;0;1;542314;120;20;25;60;0;0;3600000
2023-8-16;9:51:8;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;566733;120;20;25;60;0;0;3600000
2023-8-16;9:51:11;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;94.892;0;2;582092;120;20;25;60;0;0;3600000
2023-8-16;9:51:54;cq;20201114;388;0;1735.08;1412.65;8.02667;7.87024;0;19;365.904;0;2;624377;120;20;25;60;0;0;3600000
2023-8-16;9:57:19;cq;20201031;375;0;1015.38;703.456;0;0;0;15;181.256;0;2;942165;120;20;25;60;0;0;3600000
2023-8-16;9:57:38;cq;20201003;613.5;0;3834.68;3875.62;49.7783;22.1267;0;29;35.4867;163.888;3;967686;120;20;25;60;0;0;3600000
2023-8-16;10:21:41;cq;20201021;1160.5;0;5990.4;5504.94;56.4359;17.5617;0;72;2622.6;451.576;6;2409983;120;20;25;60;0;0;3600000
2023-8-16;10:23:56;cq;20201121;226.5;0;1243.55;958.349;6.1319;6.1319;0;13;0;0;1;524168;120;20;25;60;0;0;3600000
2023-8-16;10:24:32;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;560514;120;20;25;60;0;0;3600000
2023-8-16;10:28:34;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;151.755;0;2;594006;120;20;25;60;0;0;3600000
2023-8-16;10:29:6;cq;20201114;388;0;1742.19;1419.96;8.02667;7.87024;0;19;209.769;0;2;626830;120;20;25;60;0;0;3600000
