Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH;NO_SHIFT_LIMIT;TIME_LIMIT
2023-8-15;21:54:47;cq;20201031;375;0;1018.78;705.171;0;0;0;15;221.762;57.9726;2;73561;120;20;25;60;1;0;60000
2023-8-15;21:54:46;cq;20201107;333.5;0;824.807;531.809;2;2;18;18;322.325;0;2;82849;120;20;25;60;1;0;60000
2023-8-15;21:55:0;cq;20201010;267;0;745.097;523.463;0;0;0;13;61.8517;0;1;80611;120;20;25;60;1;0;60000
2023-8-15;21:55:4;cq;20201121;226.5;0;1243.55;958.349;2.01381;2.01381;0;13;80.5507;0;1;86742;120;20;25;60;1;0;60000
2023-8-15;21:58:7;cq;20201016;2060;0;13660.4;12943.8;271.567;38.605;0;114;2082.28;664.492;8;69984;120;20;25;60;1;0;60000
2023-8-15;21:58:7;cq;20201109;1746.5;0;13963.4;12902.5;160.132;33.55;0;94;1136.75;1610.85;7;70191;120;20;25;60;1;0;60000
2023-8-15;21:58:13;cq;20201026;1839.5;0;14022.6;13310.2;139.268;53.5882;0;115;1281.33;911.424;8;67951;120;20;25;60;1;0;60000
2023-8-15;21:58:13;cq;20201013;1565;0;9080.32;8560.49;65.3372;24.4367;8;94;4186.54;841.99;8;77019;120;20;25;60;1;0;60000
2023-8-15;21:58:15;cq;20201114;388;0;1823.46;1477.6;5.9869;4.9869;0;19;441.788;95.2563;2;68012;120;20;25;60;1;0;60000
2023-8-15;21:58:21;cq;20201021;1160.5;0;5984.48;5495.98;114.081;58.6346;0;68;3722.89;864.829;6;70723;120;20;25;60;1;0;60000
2023-8-15;21:58:27;cq;20201128;776;0;2420.65;1812.45;0;0;0;30;492.182;650.277;3;81796;120;20;25;60;1;0;60000
2023-8-15;21:58:45;cq;20201003;613.5;0;3489.65;3554.47;59.5017;35.7267;0;29;212.312;291.819;3;103291;120;20;25;60;1;0;60000
2023-8-15;21:59:17;cq;20201130;2306.5;21;15027;13511.6;443.631;52.7083;0;117;1631.6;1227.35;6;93477;120;20;25;60;1;0;60000
