Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL
2023-8-7;15:40:18;cq;20201003;613.5;0;3949.99;3933.83;12.41;12.41;0;29;0;139.702;3;3013318;120;20;25;60
2023-8-7;15:40:20;cq;20201013;1565;0;10257.9;9721.66;19.08;13.0367;18;97;3266.62;357.394;8;3016518;120;20;25;60
2023-8-7;15:40:26;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3022992;120;20;25;60
2023-8-7;15:40:32;cq;20201002;2893.5;0;18283.2;16973.9;224.939;52.9767;0;130;1239.13;1376.25;8;3026867;120;20;25;60
2023-8-7;15:40:43;cq;20201009;3229;0;18681.7;17206.7;408.514;59.4731;0;129;2054.84;2474.68;8;3035720;120;20;25;60
2023-8-7;15:40:47;cq;20201031;375;0;1014.25;702.885;0;0;0;15;51.4146;166.517;2;3009755;120;20;25;60
2023-8-7;15:40:53;cq;20201007;2512.5;0;15093.4;13962.8;11.495;5.4;0;126;1446.57;767.533;8;3048507;120;20;25;60
2023-8-7;15:40:54;cq;20201027;3577;20;24516.2;23098.9;773.21;59.5282;0;154;542.022;3768.15;8;3016590;120;20;25;60
2023-8-7;15:40:54;cq;20201014;3471;0;21674.6;20479.8;424.628;42.8856;0;137;850.407;2988.8;8;3021619;120;20;25;60
2023-8-7;15:40:55;cq;20201016;2060;0;14107.1;13406.8;69.143;22.0783;11;109;2275.05;1145.54;8;3017917;120;20;25;60
2023-8-7;15:40:57;cq;20201030;3513;0;22561.1;20800.9;908.093;59.4367;0;149;1036.64;2480.16;8;3019649;120;20;25;60
2023-8-7;15:41:0;cq;20201017;297;522;1268.09;999.706;0;0;0;18;2061.25;359.535;2;3022734;120;20;25;60
2023-8-7;15:41:3;cq;20201021;1160.5;0;5945.07;5425.56;4.89167;2;8;70;2984.44;901.773;6;3025706;120;20;25;60
2023-8-7;15:41:18;cq;20201028;3019;73.5;21898.4;20572.3;873.669;55.425;0;145;2354.17;2409.58;7;3040150;120;20;25;60
2023-8-7;15:41:34;cq;20201022;3369.5;67.5;26094.1;25024;731.26;56.4033;0;147;1097.57;3939.63;8;3056585;120;20;25;60
2023-8-7;15:41:35;cq;20201102;3078.5;0;23650.7;22738.9;264.951;54.4367;0;132;431.195;3502.01;8;3057829;120;20;25;60
2023-8-7;15:41:39;cq;20201020;2673;0;17455.4;16836.4;204.099;50.2133;0;132;2335;3243.73;8;3061058;120;20;25;60
2023-8-7;15:41:48;cq;20201005;3172;28;20553.1;19205.7;337.904;50.8533;0;116;425.745;3893.05;8;3103051;120;20;25;60
2023-8-7;15:41:56;cq;20201019;3005.5;4;19921.5;18672.8;470.808;51.91;0;136;1810.7;2501.62;8;3079139;120;20;25;60
2023-8-7;15:42:26;cq;20201001;3085;89;20537.4;19455.5;642.712;35.9317;0;129;815.451;2194.13;7;3141178;120;20;25;60
2023-8-7;15:42:29;cq;20201029;3946.5;0;25246.4;23307.7;710.743;57.1049;0;150;731.458;5326.05;8;3111939;120;20;25;60
2023-8-7;15:42:29;cq;20201023;3756;62;23689.8;21944.9;1290.44;57.5632;0;145;960.586;3078.21;8;3111558;120;20;25;60
2023-8-7;15:42:43;cq;20201026;1839.5;0;14043.9;13332.5;51.9466;33.1827;0;114;2637.35;683.626;8;3125694;120;20;25;60
2023-8-7;15:43:10;cq;20201103;3923;119.5;24209.4;22948.1;950.33;59.4833;0;144;1094.24;4810.18;8;3151958;120;20;25;60
2023-8-7;15:43:33;cq;20201104;3911;42.5;24765.8;23205;966.35;55.9033;0;148;1009.63;3629.55;8;3179764;120;20;25;60
2023-8-7;15:43:38;cq;20201015;4126.5;54.5;25623;23835;687.829;54.7817;0;140;140.654;5798.18;8;3180725;120;20;25;60
2023-8-7;15:43:52;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;135.286;0;2;3007507;120;20;25;60
2023-8-7;15:44:0;cq;20201110;3499.5;0;24430.9;22809;884.366;55.5817;0;142;500.067;4178.19;8;3015949;120;20;25;60
2023-8-7;15:44:2;cq;20201114;388;0;1741.41;1412.47;0;0;11;19;173.124;0;2;3018069;120;20;25;60
2023-8-7;15:44:12;cq;20201006;3739.5;0;25845.5;24307;900.009;58.8717;0;137;803.019;5665.3;8;3247464;120;20;25;60
2023-8-7;15:44:23;cq;20201109;1746.5;0;14154.5;13079.2;37.4237;14.2217;0;94;866.239;1832.68;7;3038667;120;20;25;60
2023-8-7;15:44:23;cq;20201024;937.5;0;4238.51;3934.75;0;0;0;35;277.509;1574.96;3;3225797;120;20;25;60
2023-8-7;15:45:1;cq;20201111;3437.5;0;24935.1;23368.1;320.382;51.0117;0;143;1762.76;4365.84;8;3077079;120;20;25;60
2023-8-7;15:45:5;cq;20201116;2939.5;0;24464.3;22837.2;971.598;58.0233;0;136;1006.57;3120.66;7;3080350;120;20;25;60
2023-8-7;15:45:28;cq;20201112;3684.5;0;22566.4;21173.4;425.628;37.1667;0;142;912.179;4222.47;8;3103622;120;20;25;60
2023-8-7;15:45:35;cq;20201008;4224.5;78;27252.3;25430;922.674;59.51;0;140;537.759;7112.55;8;3329291;120;20;25;60
2023-8-7;15:45:40;cq;20201106;3350.5;0;23040.3;21672.2;1409.71;58.8783;0;139;1333.48;2802.18;8;3115743;120;20;25;60
2023-8-7;15:45:44;cq;20201113;3670.5;0;24064.6;22642.2;751.349;55.0239;0;144;963.288;3931.19;8;3119848;120;20;25;60
2023-8-7;15:46:20;cq;20201019;3005.5;4;19697.4;18410.3;508.106;53.9383;0;137;2128.48;2701.98;8;3006617;120;20;25;60
2023-8-7;15:46:20;cq;20201127;2546;583.5;17421.3;16029;410.168;49.7615;0;135;1707.88;2714.03;7;3005230;120;20;25;60
2023-8-7;15:46:20;cq;20201130;2327.5;0;15100.1;13520.9;201.477;37.3733;0;116;1774.37;1758;6;3007783;120;20;25;60
2023-8-7;15:46:21;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3008371;120;20;25;60
2023-8-7;15:46:21;cq;20201013;1565;0;8749.89;8127.99;30.1994;24.4367;3;97;3332.54;191.541;8;3008640;120;20;25;60
2023-8-7;15:46:21;cq;20201020;2673;0;17238.4;16565.6;293.521;55.575;0;131;2148.38;2741.37;8;3007874;120;20;25;60
2023-8-7;15:46:21;cq;20201031;375;0;1016.51;704.028;0;0;0;15;186.682;294.178;2;3009234;120;20;25;60
2023-8-7;15:46:21;cq;20201125;2425;0;20556.8;19236.9;304.765;55.5083;0;131;2340.74;1470.37;7;3005981;120;20;25;60
2023-8-7;15:46:23;cq;20201118;3541;0;21174.8;19754.6;802.482;57.9229;0;138;1112.47;2694.33;8;3005308;120;20;25;60
2023-8-7;15:46:23;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;24.3543;0;1;3007517;120;20;25;60
2023-8-7;15:46:24;cq;20201109;1746.5;0;14530.2;13416.2;38.6183;12.3967;0;94;1117.41;1587.23;7;3009573;120;20;25;60
2023-8-7;15:46:24;cq;20201022;3369.5;67.5;25603.1;24563.2;670.614;58.8033;0;146;1740.49;4869.71;8;3010378;120;20;25;60
2023-8-7;15:46:24;cq;20201007;2512.5;0;15438.8;14210;16.1793;5.69167;0;127;808.17;1687.96;8;3011537;120;20;25;60
2023-8-7;15:46:25;cq;20201021;1160.5;0;6753.73;6251.57;3;3;0;69;2736.53;994.013;6;3011743;120;20;25;60
2023-8-7;15:46:27;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3012665;120;20;25;60
2023-8-7;15:46:27;cq;20201030;3513;0;23433.5;21639.5;753.929;59.4367;0;148;1231.83;2796.84;8;3009811;120;20;25;60
2023-8-7;15:46:27;cq;20201114;388;0;1700.46;1377.43;0;0;6;19;195.12;233.1;2;3013715;120;20;25;60
2023-8-7;15:46:27;cq;20201114;388;0;1752.71;1417.98;0;0;0;19;133.422;210.467;2;3013970;120;20;25;60
2023-8-7;15:46:28;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;168.719;0;2;3014134;120;20;25;60
2023-8-7;15:46:28;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;103.952;0;1;3014588;120;20;25;60
2023-8-7;15:46:28;cq;20201130;2327.5;0;14883.3;13232.6;221.773;59.8213;0;117;1442.34;1235.05;6;3014449;120;20;25;60
2023-8-7;15:46:28;cq;20201123;2595;0;19401;18097.5;288.057;53.6;0;128;1035.6;3485.49;7;3015331;120;20;25;60
2023-8-7;15:46:29;cq;20201031;375;0;1017.65;704.599;0;0;0;15;216.9;193.353;2;3013052;120;20;25;60
2023-8-7;15:46:29;cq;20201125;2425;0;19714.2;18314.5;542.607;50.8217;0;132;1796.96;1337.4;7;3015802;120;20;25;60
2023-8-7;15:46:29;cq;20201017;297;522;1268.09;999.706;0;0;0;18;2130.88;344.658;2;3015518;120;20;25;60
2023-8-7;15:46:30;cq;20201026;1839.5;0;13809;13077.6;51.6533;33.1827;0;114;2424.15;596.132;8;3017383;120;20;25;60
2023-8-7;15:46:31;cq;20201007;2512.5;0;15624.5;14430.8;13.2202;3.54;0;127;1166.74;1649.2;8;3016075;120;20;25;60
2023-8-7;15:46:31;cq;20201016;2060;0;14199.4;13488.5;103.62;32.1746;0;110;2248.05;605.567;8;3018429;120;20;25;60
2023-8-7;15:46:32;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;16.9669;0;1;3017491;120;20;25;60
