Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH;NO_SHIFT_LIMIT;TIME_LIMIT
2023-8-16;14:59:59;cq;20201031;375;0;1014.25;702.885;0;0;11;15;0;0;2;3605771;99999999;5;25;60;1;1;3600000
2023-8-16;14:59:59;cq;20201013;1565;0;9297.91;8740.1;2.57167;1;0;94;0;0;8;3606531;99999999;5;25;60;1;1;3600000
2023-8-16;15:0:5;cq;20201114;388;0;1682.23;1361.07;0;0;0;17;0;0;2;3611640;99999999;5;25;60;1;1;3600000
2023-8-16;15:0:6;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3613585;99999999;5;25;60;1;1;3600000
2023-8-16;15:0:8;cq;20201024;937.5;0;4054.86;3652.95;0;0;0;31;0;0;3;3614465;99999999;5;25;60;1;1;3600000
2023-8-16;15:0:9;cq;20201128;776;0;2286.23;1683.64;0;0;0;28;0;0;3;3615940;99999999;5;25;60;1;1;3600000
2023-8-16;15:0:12;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;0;0;1;3618947;99999999;5;25;60;1;1;3600000
2023-8-16;15:0:14;cq;20201107;333.5;0;777.252;486.932;0;0;0;18;0;0;2;3621500;99999999;5;25;60;1;1;3600000
2023-8-16;15:0:27;cq;20201003;613.5;0;3442.36;3368.03;0;0;11;28;0;0;3;3634565;99999999;5;25;60;1;1;3600000
2023-8-16;15:2:0;cq;20201021;1160.5;0;5786.12;5358.46;0;0;7;68;0;0;6;3726823;99999999;5;25;60;1;1;3600000
2023-8-16;15:3:27;cq;20201109;1746.5;0;14032.1;12994.5;0;0;16;94;0;0;7;3603701;99999999;5;25;60;1;1;3600000
2023-8-16;15:3:37;cq;20201130;2080;247.5;13018.8;11616.5;400.881;56.0156;0;115;0;0;6;3613261;99999999;5;25;60;1;1;3600000
2023-8-16;15:3:52;cq;20201020;2606;67;15623.9;14889.8;343.741;55.2683;0;134;0;0;8;3628010;99999999;5;25;60;1;1;3600000
2023-8-16;15:3:52;cq;20201026;1839.5;0;13626.6;12867.7;0;0;0;113;0;0;8;3628799;99999999;5;25;60;1;1;3600000
2023-8-16;15:3:59;cq;20201007;2512.5;0;15354.9;14279.8;195.064;40.64;0;121;0;0;8;3635251;99999999;5;25;60;1;1;3600000
2023-8-16;15:4:10;cq;20201016;2060;0;11818.7;11002.2;528.033;54.9215;0;115;0;0;8;3646236;99999999;5;25;60;1;1;3600000
2023-8-16;15:4:17;cq;20201123;2337;258;17502.2;16226.1;380.124;56.4783;0;128;0;0;7;3653620;99999999;5;25;60;1;1;3600000
2023-8-16;15:4:18;cq;20201124;2603;82.5;16151.3;14463.1;567.363;53.5925;0;126;0;0;8;3654526;99999999;5;25;60;1;1;3600000
2023-8-16;15:4:36;cq;20201002;2828;65.5;17516.1;16304.6;440.819;54.7433;0;127;0;0;8;3672733;99999999;5;25;60;1;1;3600000
2023-8-16;15:5:48;cq;20201125;2256;169;17412.1;16171.8;583.461;56.9693;0;131;0;0;7;3744690;99999999;5;25;60;1;1;3600000
2023-8-16;15:7:40;cq;20201126;2699.5;271.5;19226.3;18111.7;872.891;57.3017;0;123;0;0;7;3642084;99999999;5;25;60;1;1;3600000
2023-8-16;15:7:55;cq;20201102;2877.5;201;21456.4;20342.2;504.397;55.1717;0;132;0;0;8;3656263;99999999;5;25;60;1;1;3600000
2023-8-16;15:7:55;cq;20201014;3163.5;307.5;21847.4;20830.3;1100.64;57.9683;0;135;0;0;8;3655990;99999999;5;25;60;1;1;3600000
2023-8-16;15:8:5;cq;20201120;3201.5;200;21572.5;19642.4;1064.29;58.9717;0;138;0;0;8;3666289;99999999;5;25;60;1;1;3600000
2023-8-16;15:8:37;cq;20201106;3159.5;191;20430.1;19273.1;629.968;54.8683;0;137;0;0;8;3696453;99999999;5;25;60;1;1;3600000
2023-8-16;15:8:37;cq;20201116;2609.5;330;19734.5;18236;615.248;52.6183;0;135;0;0;7;3699457;99999999;5;25;60;1;1;3600000
2023-8-16;15:8:48;cq;20201110;3253.5;246;19668.8;18190.3;631.42;53.8364;0;138;0;0;8;3709830;99999999;5;25;60;1;1;3600000
2023-8-16;15:9:18;cq;20201009;3189;40;17652.7;16148.2;784.308;59.0633;0;125;0;0;8;3739684;99999999;5;25;60;1;1;3600000
2023-8-16;15:9:35;cq;20201030;3388.5;124.5;20282.6;18648.1;865.543;58.355;0;146;0;0;8;3756290;99999999;5;25;60;1;1;3600000
2023-8-16;15:9:36;cq;20201111;3329;108.5;23474.8;21867.6;976.979;56.1533;0;143;0;0;8;3757729;99999999;5;25;60;1;1;3600000
2023-8-16;15:10:51;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;0;0;1;3615021;99999999;10;25;60;1;1;3600000
2023-8-16;15:10:55;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3619889;99999999;10;25;60;1;1;3600000
2023-8-16;15:11:8;cq;20201031;375;0;1015.38;703.456;0;0;12;15;0;0;2;3633072;99999999;10;25;60;1;1;3600000
2023-8-16;15:11:13;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;0;0;2;3637571;99999999;10;25;60;1;1;3600000
2023-8-16;15:11:26;cq;20201112;3370;314.5;20931.1;19551.3;494.33;55.8689;0;142;0;0;8;3652250;99999999;5;25;60;1;1;3600000
2023-8-16;15:12:1;cq;20201006;3528.5;211;24203.3;22913.9;880.796;59.314;0;138;0;0;8;3685841;99999999;5;25;60;1;1;3600000
2023-8-16;15:12:20;cq;20201104;3395;558.5;22282.1;20957.1;870.613;55.155;0;147;0;0;8;3704627;99999999;5;25;60;1;1;3600000
2023-8-16;15:12:34;cq;20201029;3564.5;382;23628.4;21927.4;1088.05;56.6967;0;150;0;0;8;3718181;99999999;5;25;60;1;1;3600000
2023-8-16;15:12:38;cq;20201113;3402.5;268;22768.7;21488.4;1119.92;59.7832;0;144;0;0;8;3723800;99999999;5;25;60;1;1;3600000
2023-8-16;15:12:51;cq;20201118;3088;453;19682.7;18442.9;866.674;58.0267;0;139;0;0;8;3737196;99999999;5;25;60;1;1;3600000
2023-8-16;15:14:25;cq;20201013;1565;0;8990.7;8447.32;0.27;0.27;26;95;0;0;8;3612872;99999999;10;25;60;1;1;3600000
2023-8-16;15:14:25;cq;20201003;613.5;0;3356.27;3415.86;0;0;12;29;0;0;3;3613802;99999999;10;25;60;1;1;3600000
2023-8-16;15:14:25;cq;20201024;937.5;0;3958.57;3558.29;0;0;0;29;0;0;3;3613237;99999999;10;25;60;1;1;3600000
2023-8-16;15:14:27;cq;20201109;1746.5;0;13496.9;12409.5;0;0;6;94;0;0;7;3614781;99999999;10;25;60;1;1;3600000
2023-8-16;15:14:32;cq;20201021;1160.5;0;5536.74;5031.61;0;0;6;74;0;0;6;3620347;99999999;10;25;60;1;1;3600000
2023-8-16;15:14:34;cq;20201026;1839.5;0;12022.3;11188.3;0;0;25;111;0;0;8;3621124;99999999;10;25;60;1;1;3600000
2023-8-16;15:14:42;cq;20201128;776;0;2315.5;1710.29;0;0;0;31;0;0;3;3630611;99999999;10;25;60;1;1;3600000
