Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH
2023-8-9;1:3:11;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;574066;120;20;25;60;0
2023-8-9;1:9:43;cq;20201003;613.5;0;3813.78;3844.4;49.445;22.1267;0;29;254.483;245.255;3;966047;120;20;25;60;0
2023-8-9;1:10:52;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;150.982;0;2;566825;120;20;25;60;0
2023-8-9;1:14:20;cq;20201121;226.5;0;1243.55;958.349;6.1319;6.1319;0;13;0;0;1;529456;120;20;25;60;0
2023-8-9;1:15:52;cq;20201114;388;0;1719.01;1395.46;8.02667;7.87024;0;19;301.242;0;2;622765;120;20;25;60;0
2023-8-9;1:16:43;cq;20201031;375;0;1015.38;703.456;0;0;0;15;202.902;0;2;917289;120;20;25;60;0
2023-8-9;1:19:37;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;560949;120;20;25;60;0
2023-8-9;1:25:32;cq;20201003;613.5;0;3890.4;3941.88;49.445;22.1267;0;29;199.833;180.605;3;962642;120;20;25;60;0
2023-8-9;1:27:3;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;133.248;0;2;571770;120;20;25;60;0
2023-8-9;1:27:53;cq;20201114;388;0;1715.16;1392.34;8.02667;7.87024;0;19;241.549;0;2;618927;120;20;25;60;0
2023-8-9;1:28:45;cq;20201121;226.5;0;1243.55;958.349;6.1319;6.1319;0;13;0;0;1;536807;120;20;25;60;0
2023-8-9;1:29:42;cq;20201031;375;0;1015.38;703.456;0;0;0;15;268.259;19.0038;2;930614;120;20;25;60;0
2023-8-9;1:34:4;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;556833;120;20;25;60;0
