Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH;NO_SHIFT_LIMIT;TIME_LIMIT
2023-8-16;11:4:32;cq;20201031;375;0;1014.25;702.885;0;0;1;14;0;0;2;3604097;99999999;20;25;60;1;1;3600000
2023-8-16;11:4:33;cq;20201114;388;0;1652.45;1341.89;0;0;30;18;0;0;2;3607997;99999999;20;25;60;1;1;3600000
2023-8-16;11:4:34;cq;20201003;613.5;0;3306.01;3373.81;0;0;0;28;0;0;3;3603529;99999999;20;25;60;1;1;3600000
2023-8-16;11:4:34;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;0;0;2;3608673;99999999;20;25;60;1;1;3600000
2023-8-16;11:4:34;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3609065;99999999;20;25;60;1;1;3600000
2023-8-16;11:5:16;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;0;0;1;3649581;99999999;20;25;60;1;1;3600000
2023-8-16;11:5:53;cq;20201024;937.5;0;3796.07;3396.21;0;0;27;29;0;0;3;3686317;99999999;20;25;60;1;1;3600000
2023-8-16;11:6:6;cq;20201128;776;0;2242.96;1662.42;0;0;0;31;0;0;3;3701179;99999999;20;25;60;1;1;3600000
2023-8-16;11:8:4;cq;20201013;1565;0;8261.57;7684.04;0;0;0;92;0;0;8;3611697;99999999;20;25;60;1;1;3600000
2023-8-16;11:8:16;cq;20201016;2060;0;11204.6;10366.9;1.59833;1.59833;2;107;0;0;8;3625499;99999999;20;25;60;1;1;3600000
2023-8-16;11:8:20;cq;20201109;1746.5;0;12825.1;11763.5;0;0;36;93;0;0;7;3621060;99999999;20;25;60;1;1;3600000
2023-8-16;11:8:22;cq;20201007;2512.5;0;13748.2;12500.7;0;0;10;127;0;0;8;3626931;99999999;20;25;60;1;1;3600000
2023-8-16;11:8:31;cq;20201125;2425;0;18347.6;16891.2;82.014;20.5117;0;127;0;0;7;3636657;99999999;20;25;60;1;1;3600000
2023-8-16;11:8:41;cq;20201020;2673;0;15987;15319.1;81.8271;38.9367;3;123;0;0;8;3649448;99999999;20;25;60;1;1;3600000
