WEEK;DATE;t1;t2;d1;d2;QUANTITY;DRIVER_NBR
40;2020-10-01;19240,54;18898,0;18105,1034;17745,7043;3078,0;116
40;2020-10-02;17880,638333333332;17813,803333333333;16603,5434;16472,0733;2951,5;120
40;2020-10-03;3826,693333333333;3826,693333333333;3963,5749;3963,5749;651,5;32
41;2020-10-05;19730,351666666666;19747,641666666666;18297,9283;18332,5868;3190,0;108
41;2020-10-06;23589,926666666666;23558,828333333335;22024,4768;22005,9834;3749,5;124
41;2020-10-07;14276,185;14320,821666666667;12895,9288;12911,969799999999;2512,5;124
41;2020-10-08;23854,65166666667;23791,373333333333;21820,5989;21786,0848;4302,5;123
41;2020-10-09;17923,90166666667;17865,196666666667;16253,182499999999;16153,315999999999;3229,0;113
41;2020-10-10;780,8416666666667;780,8416666666667;543,0532000000001;543,0532000000001;267,0;13
42;2020-10-13;8453,735;8417,803333333333;7817,023099999999;7774,6726;1565,0;99
42;2020-10-14;21446,006666666668;21217,36;20080,8966;19876,4187;3471,0;123
42;2020-10-15;25332,27666666667;25092,191666666666;23302,7627;23020,3323;4181,0;123
42;2020-10-16;11072,021666666667;10943,373333333333;10108,5021;9981,4497;2060,0;112
42;2020-10-17;3670,808333333333;3670,808333333333;3412,6845999999996;3412,6845999999996;819,0;28
43;2020-10-19;20079,911666666667;19915,853333333333;18578,1254;18375,3359;3009,5;121
43;2020-10-20;16066,13;16012,09;15371,0219;15298,1369;2638,0;133
43;2020-10-21;5760,576666666667;5760,576666666667;5248,1893;5248,1893;1164,5;78
43;2020-10-22;24460,373333333333;24407,251666666667;23215,5066;23143,632;3428,5;136
43;2020-10-23;22835,233333333334;22580,176666666666;20907,9158;20626,2858;3837,5;131
43;2020-10-24;4409,54;4416,1483333333335;4032,3958000000002;4039,8924;957,5;37
44;2020-10-26;12535,121666666666;12508,133333333333;11664,7716;11638,7174;1839,5;116
44;2020-10-27;22664,89;22524,038333333334;21068,9425;20935,0778;3592,0;132
44;2020-10-28;22050,845;22189,098333333335;20494,5739;20622,122;3089,5;135
44;2020-10-29;23265,27666666667;23250,876666666667;21145,69;21094,7173;3943,5;131
44;2020-10-30;19955,133333333335;19709,506666666668;18131,8331;17870,4889;3524,0;133
44;2020-10-31;1116,5183333333332;1087,02;789,854;758,7402;375,0;15
45;2020-11-02;22165,933333333334;22171,878333333334;20914,8433;20936,7457;3078,5;125
45;2020-11-03;23383,725;23621,863333333335;21774,1927;22046,4825;4042,5;124
45;2020-11-04;23816,966666666667;23716,79;22082,5415;21978,0572;3953,5;128
45;2020-11-05;23342,648333333334;23450,425;21619,2998;21673,4515;4080,0;128
45;2020-11-06;20630,45;20488,90166666667;19153,1585;19011,5364;3350,5;124
45;2020-11-07;856,6983333333334;856,6983333333334;555,132;555,132;333,5;18
46;2020-11-09;13192,386666666667;13211,453333333335;11997,3305;12015,3953;1746,5;94
46;2020-11-10;21051,133333333335;20978,245;19088,837;18963,8021;3499,5;124
46;2020-11-11;22541,405;22692,111666666668;20668,7102;20833,0892;3437,5;126
46;2020-11-12;22283,566666666666;22031,551666666666;20557,8825;20275,9871;3684,5;121
46;2020-11-13;22073,52;21986,588333333333;20604,6905;20496,0217;3670,5;123
46;2020-11-14;1933,1666666666667;1933,1666666666667;1566,6009000000001;1566,6009000000001;388,0;19
47;2020-11-16;20659,1;20699,148333333334;18638,2667;18606,6722;2939,5;122
47;2020-11-17;21968,295000000002;21870,015;20411,5676;20302,4585;3288,5;124
47;2020-11-18;20460,926666666666;20524,16;18752,9448;18831,6818;3541,0;124
47;2020-11-19;21708,926666666666;21810,36;19990,7419;20134,7521;3447,5;121
47;2020-11-20;22180,565;22414,516666666666;20026,6827;20278,0768;3401,5;120
47;2020-11-21;1315,3383333333334;1315,3383333333334;1010,1621;1010,1621;226,5;13
48;2020-11-23;18796,718333333334;18788,213333333333;17302,9144;17278,1859;2595,0;118
48;2020-11-24;16572,44;16542,3;14660,0054;14620,0273;2685,5;124
48;2020-11-25;18368,635000000002;18424,648333333334;16840,3999;16894,759299999998;2425,0;127
48;2020-11-26;20694,205;20610,923333333332;19144,533199999998;19046,063;2971,0;121
48;2020-11-27;19828,178333333333;19757,920000000002;17690,7628;17622,7375;3129,5;121
48;2020-11-28;2429,6400000000003;2429,6400000000003;1753,8107;1753,8107;776,0;27
49;2020-11-30;21794,266666666666;21740,55;20853,0433;20795,5521;2327,5;107
