instance;Del;Order;Cust;Driver;Cap;rank;Load;Prev;TravelToDock;Dock;ArrDock;FinDock;TravelToDel;ArrDel;Waiting;StartDel;FinDel;Next;Depot;ELT;LTW
B_8_20_4;88;0;0;2;15;1;10;134;20;151;411;411;9;420;0;420;435;77;0;420;440
B_8_20_4;89;1;1;4;15;1;0;143;24;152;292;292;28;320;0;320;335;158;1;320;340
B_8_20_4;90;2;2;1;15;1;15;98;5;153;158;158;2;160;0;160;175;205;2;160;200
B_8_20_4;91;3;3;6;20;1;20;104;4;154;84;84;4;88;-8;88;108;174;1;80;120
B_8_20_4;93;4;4;7;20;1;20;86;16;156;48;48;2;50;0;50;70;165;0;50;90
B_8_20_4;95;5;5;4;15;1;15;89;36;158;397;397;13;410;0;410;425;81;3;410;450
B_8_20_4;96;5;5;1;15;1;10;133;45;159;412;412;13;425;0;425;440;75;3;410;450
B_8_20_4;97;6;6;4;15;1;15;80;25;160;105;105;5;110;0;110;125;204;2;110;160
B_8_20_4;98;6;6;1;15;1;10;105;25;161;120;120;5;125;0;125;140;153;2;110;160
B_8_20_4;99;7;7;7;20;1;20;132;45;162;408;408;2;410;0;410;430;163;3;410;460
B_8_20_4;100;7;7;7;20;1;5;99;2;163;432;432;2;434;-4;434;454;87;3;410;460
B_8_20_4;101;8;8;5;20;1;20;82;16;164;53;53;27;80;0;80;100;170;0;80;140
B_8_20_4;102;8;8;7;20;1;15;93;2;165;73;73;27;100;0;100;120;171;0;80;140
B_8_20_4;104;9;9;6;20;1;20;84;14;167;56;56;4;60;0;60;80;154;1;60;110
B_8_20_4;105;9;9;1;15;1;15;74;14;168;76;76;4;80;0;80;95;161;1;60;110
B_8_20_4;107;10;10;5;20;1;20;101;35;170;155;155;15;170;0;170;190;194;3;170;220
B_8_20_4;108;10;10;7;20;1;20;102;35;171;175;175;15;190;0;190;210;195;3;170;220
B_8_20_4;110;11;11;2;15;1;15;76;16;173;122;122;18;140;0;140;155;203;0;140;220
B_8_20_4;111;11;11;6;20;1;0;91;32;174;140;140;18;158;-3;158;178;209;0;140;220
B_8_20_4;112;11;11;3;15;1;15;78;16;175;160;160;18;178;0;178;193;208;0;140;220
B_8_20_4;118;13;13;0;15;1;15;128;10;181;331;331;6;337;-7;337;352;183;1;330;460
B_8_20_4;119;13;13;6;20;1;20;129;10;182;351;351;6;357;-5;357;377;184;1;330;460
B_8_20_4;120;13;13;0;15;1;15;118;6;183;371;371;6;377;0;377;392;188;1;330;460
B_8_20_4;121;13;13;6;20;1;5;119;6;184;386;386;6;392;0;392;412;85;1;330;460
B_8_20_4;122;14;14;3;15;1;15;145;8;185;377;377;3;380;0;380;395;187;2;380;460
B_8_20_4;123;14;14;5;20;1;20;131;54;186;392;392;3;395;0;395;415;83;2;380;460
B_8_20_4;124;14;14;3;15;1;15;122;3;187;412;412;3;415;0;415;430;79;2;380;460
B_8_20_4;125;14;14;0;15;1;10;120;28;188;427;427;3;430;0;430;445;73;2;380;460
B_8_20_4;126;15;15;0;15;1;15;147;15;189;261;261;10;271;-1;271;286;191;1;270;370
B_8_20_4;127;15;15;2;15;1;15;148;15;190;276;276;10;286;0;286;301;197;1;270;370
B_8_20_4;128;15;15;0;15;1;15;126;10;191;296;296;10;306;-5;306;321;181;1;270;370
B_8_20_4;129;15;15;6;20;1;20;149;15;192;311;311;10;321;0;321;341;182;1;270;370
B_8_20_4;131;16;16;5;20;1;0;107;47;194;270;270;20;290;0;290;310;186;0;290;410
B_8_20_4;132;16;16;7;20;1;20;108;47;195;290;290;20;310;0;310;330;162;0;290;410
B_8_20_4;133;16;16;1;15;1;15;144;43;196;310;310;20;330;0;330;345;159;0;290;410
B_8_20_4;134;16;16;2;15;1;15;127;27;197;328;328;20;348;-3;348;363;151;0;290;410
B_8_20_4;136;17;17;0;15;1;15;72;14;199;138;138;2;140;0;140;155;200;1;140;230
B_8_20_4;137;17;17;0;15;1;15;136;2;200;157;157;2;159;-4;159;174;201;1;140;230
B_8_20_4;138;17;17;0;15;1;15;137;2;201;176;176;2;178;-4;178;193;202;1;140;230
B_8_20_4;139;17;17;0;15;1;15;138;2;202;195;195;2;197;-4;197;212;210;1;140;230
B_8_20_4;140;17;17;2;15;1;10;110;18;203;210;210;2;212;0;212;227;211;1;140;230
B_8_20_4;141;18;18;4;15;1;15;97;5;204;172;172;8;180;0;180;195;206;2;180;270
B_8_20_4;142;18;18;1;15;1;15;90;2;205;187;187;8;195;0;195;210;207;2;180;270
B_8_20_4;143;18;18;4;15;1;15;141;8;206;203;203;8;211;-1;211;226;152;2;180;270
B_8_20_4;144;18;18;1;15;1;15;142;8;207;218;218;8;226;0;226;241;196;2;180;270
B_8_20_4;145;18;18;3;15;1;10;112;37;208;233;233;8;241;0;241;256;185;2;180;270
B_8_20_4;146;19;19;6;20;1;0;111;18;209;196;196;15;211;-61;211;231;212;1;150;300
B_8_20_4;147;19;19;0;15;1;15;139;2;210;216;216;15;231;0;231;246;189;1;150;300
B_8_20_4;148;19;19;2;15;1;15;140;2;211;231;231;15;246;0;246;261;190;1;150;300
B_8_20_4;149;19;19;6;20;1;20;146;15;212;246;246;15;261;0;261;281;192;1;150;300
