instance;Del;Order;Cust;Driver;Load;ArrDock;FinDock;ArrDel;Waiting;StartDel;FinDel;ELT;LTW;Cap;rank;Prev;TravelToDock;Dock;TravelToDel;Next;Depot
20201003;97;0;0;4;3;467.763;470.163;540;0;540;546;540;2140;8;100000;8;0;182;59.8367;9;1
20201003;98;1;1;0;6;525.363;530.163;600;0;600;612;600;2200;8;100000;104;68.51;183;59.8367;1;1
20201003;99;2;2;2;6.5;648.742;653.942;720;0;720;733;720;2320;8;100000;103;62.6817;184;56.0583;5;1
20201003;100;3;3;28;9.5;481.342;488.942;555;0;555;574;555;2155;12;100000;56;47.505;185;56.0583;250;1
20201003;102;4;4;18;2;362.073;363.673;433;-13;433;437;420;2020;8;100000;36;47.505;187;59.3267;37;1
20201003;103;4;4;2;8;380;386.4;455.727;-18.7267;455.727;471.727;420;2020;8;100000;4;0;188;59.3267;184;1
20201003;104;5;5;0;7;365;370.6;443.775;-23.775;443.775;457.775;420;2020;8;100000;0;0;189;63.175;183;1
20201003;105;5;5;1;8;393.673;400.073;473.248;-15.4733;473.248;489.248;420;2020;8;100000;2;0;190;63.175;3;1
20201003;106;6;6;27;12;554.342;563.942;630;0;630;654;630;2230;12;100000;54;47.505;191;56.0583;199;1
20201003;107;6;6;3;5;583.942;587.942;654;0;654;664;630;2230;8;100000;6;0;192;56.0583;7;1
20201003;109;7;7;13;8;582.2;589.057;600;0;600;616;600;2200;8;100000;26;0;194;0.943333;197;2
20201003;110;7;7;15;8;598.2;605.057;616;0;616;632;600;2200;8;100000;30;0;195;0.943333;200;2
20201003;111;7;7;26;12;627.109;637.395;648.338;-16.3381;648.338;672.338;600;2200;12;100000;160;5.31833;196;0.943333;198;2
20201003;112;7;7;13;8;666.403;673.26;684.204;-11.8657;684.204;700.204;600;2200;8;100000;109;0.943333;197;0.943333;228;2
20201003;113;7;7;26;12;683.281;693.567;704.51;-4.30667;704.51;728.51;600;2200;12;100000;111;0.943333;198;0.943333;254;2
20201003;114;7;7;27;12;706.771;717.057;728;0.510476;728.51;752.51;600;2200;12;100000;106;32.8233;199;0.943333;201;2
20201003;115;7;7;15;8;734.2;741.057;752;0.510476;752.51;768.51;600;2200;8;100000;110;0.943333;200;0.943333;202;2
20201003;116;7;7;27;12;763.454;773.74;784.683;-16.1724;784.683;808.683;600;2200;12;100000;114;0.943333;201;0.943333;203;2
20201003;117;7;7;15;8;790.2;797.057;808;0.682857;808.683;824.683;600;2200;8;100000;115;0.943333;202;0.943333;204;2
20201003;118;7;7;27;12;821.543;831.829;842.772;-18.0893;842.772;866.772;600;2200;12;100000;116;0.943333;203;0.943333;258;2
20201003;119;7;7;15;8;856.342;863.2;874.143;-7.37071;874.143;890.143;600;2200;8;100000;117;0.943333;204;0.943333;206;2
20201003;120;7;7;14;8;887.744;894.601;905.544;-15.4014;905.544;921.544;600;2200;8;100000;141;18.535;205;0.943333;261;2
20201003;121;7;7;15;2;911.403;913.118;924.061;-2.51667;924.061;928.061;600;2200;8;100000;119;0.943333;206;0.943333;260;2
20201003;124;8;8;12;1;998.923;999.923;1047;0;1047;1049;420;2020;8;100000;137;35.5517;209;37.0767;25;0
20201003;125;9;8;19;8;380;385.333;432.41;-12.41;432.41;448.41;420;2020;8;100000;38;0;210;37.0767;39;0
20201003;126;9;8;26;12;410.923;418.923;466;-17.59;466;490;420;2020;12;100000;52;0;211;37.0767;245;0
