instance;Del;Order;Cust;Driver;Load;ArrDock;FinDock;ArrDel;Waiting;StartDel;FinDel;ELT;LTW;Cap;rank;Prev;TravelToDock;Dock;TravelToDel;Next;Depot
20231218;39;0;0;2;12;584.465;593.465;620;0;620;644;620;728;12;100000;48;14.7417;68;16.535;5;0
20231218;40;0;0;0;12;608.465;617.465;644;0;644;668;620;728;12;100000;67;26.4533;69;16.535;1;0
20231218;42;1;1;8;12;460;470.286;486.859;-6.85905;486.859;510.859;480;604;12;100000;16;0;71;6.57333;81;1
20231218;43;1;1;5;12;500.284;510.57;527.143;-16.2838;527.143;551.143;480;604;12;100000;61;5.31833;72;6.57333;82;1
20231218;44;1;1;4;8;527.712;534.57;551.143;0;551.143;567.143;480;604;8;100000;64;5.31833;73;6.57333;86;1
20231218;46;2;2;7;8;448.373;454.373;480;0;480;496;480;612;8;100000;14;28.6;75;15.6267;80;0
20231218;47;2;2;1;8;464.373;470.373;496;0;496;512;480;612;8;100000;2;0;76;15.6267;3;0
20231218;48;2;2;2;12;485;494;519.627;-7.62667;519.627;543.627;480;612;12;100000;4;0;77;15.6267;68;0
20231218;49;2;2;3;8;511.373;517.373;543;0.626667;543.627;559.627;480;612;8;100000;6;0;78;15.6267;7;0
20231218;51;3;3;7;8;510.57;517.427;534;-24;534;550;510;714;8;100000;46;20.6283;80;6.57333;88;1
20231218;52;3;3;8;12;534.57;544.855;561.429;-11.4286;561.429;585.429;510;714;12;100000;42;5.75667;81;6.57333;87;1
20231218;53;3;3;5;12;566.9;577.185;593.759;-8.33;593.759;617.759;510;714;12;100000;43;5.75667;82;6.57333;85;1
20231218;54;3;3;6;8;593.57;600.427;617;0.758571;617.759;633.759;510;714;8;100000;66;5.31833;83;6.57333;13;1
20231218;56;4;3;5;12;640.427;650.712;667.286;-1.52714;667.286;691.286;510;714;12;100000;53;5.75667;85;6.57333;11;1
20231218;57;4;3;4;4;670.998;674.427;691;0.285714;691.286;699.286;510;714;8;100000;44;5.75667;86;6.57333;9;1
20231218;58;5;3;8;12;606.141;616.427;633;0.758571;633.759;657.759;510;714;12;100000;52;5.75667;87;6.57333;17;1
20231218;59;5;3;7;4;636.998;640.427;657;0.758571;657.759;665.759;510;714;8;100000;51;5.75667;88;6.57333;15;1
20231218;60;6;4;4;8;421.546;428.403;445;0;445;461;445;625;8;100000;8;0;89;6.59667;93;1
20231218;61;6;4;5;12;434.118;444.403;461;0;461;485;445;625;12;100000;10;0;90;6.59667;72;1
20231218;63;7;4;6;8;453.143;460;476.597;8.40333;485;501;445;625;8;100000;12;0;92;6.59667;95;1
20231218;64;7;4;4;8;477.546;484.403;501;0;501;517;445;625;8;100000;60;5.31833;93;6.59667;73;1
20231218;65;7;4;0;12;489.998;500.284;516.88;0.119524;517;541;445;625;12;100000;0;26.42;94;6.59667;96;1
20231218;66;7;4;6;8;517.546;524.403;541;0;541;557;445;625;8;100000;63;5.31833;95;6.59667;83;1
20231218;67;7;4;0;4;556.318;559.747;576.344;-19.3436;576.344;584.344;445;625;12;100000;65;5.31833;96;6.59667;69;1
